sample_id,predicted_cell_type,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,Progenitor cell,BORIS,CTCFL,237,0,0.0,-0.22487050442952897
mtab_tumors,Epithelial cell,BORIS,CTCFL,1431,11,0.007686932215234102,-0.2018261275501419
mtab_tumors,Natural killer cell,BORIS,CTCFL,1427,6,0.004204625087596356,-0.2128026140681494
mtab_tumors,Cycling cell,BORIS,CTCFL,351,2,0.005698005698005698,-0.21404767329177615
mtab_tumors,Pre-tubular aggregate cell,BORIS,CTCFL,1809,9,0.004975124378109453,-0.2064871539453587
mtab_tumors,Granulocyte,BORIS,CTCFL,2271,393,0.17305151915455746,0.5863972352224781
mtab_tumors,Proliferative cell,HAGE,DDX43,2062,0,0.0,-0.10223368288234097
mtab_tumors,Pericyte,HAGE,DDX43,1216,5,0.004111842105263158,-0.0642903450752522
mtab_tumors,Columnar epithelial cell,HAGE,DDX43,1701,0,0.0,-0.10223368288234098
mtab_tumors,Meiotic prophase fetal germ cell,HAGE,DDX43,1730,102,0.058959537572254334,0.3506860470870562
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),HAGE,DDX43,598,0,0.0,-0.102233682882341
mtab_tumors,Neutrophil,HAGE,DDX43,515,2,0.003883495145631068,-0.06551232436296105
mtab_tumors,Granulosa cell,HAGE,DDX43,198,0,0.0,-0.10223368288234098
mtab_tumors,Fibroblast,HAGE,DDX43,1260,6,0.004761904761904762,-0.06814314557234695
mtab_tumors,Endothelial cell,HAGE,DDX43,519,10,0.019267822736030827,0.01724421646933061
mtab_tumors,Myeloid cell,HAGE,DDX43,639,1,0.001564945226917058,-0.09033819231715466
mtab_tumors,Progenitor cell,HAGE,DDX43,237,0,0.0,-0.10223368288234098
mtab_tumors,Epithelial cell,HAGE,DDX43,1431,1,0.0006988120195667365,-0.09517412056027086
mtab_tumors,Natural killer cell,HAGE,DDX43,1427,0,0.0,-0.10223368288234098
mtab_tumors,Cycling cell,HAGE,DDX43,351,0,0.0,-0.10223368288234098
mtab_tumors,Pre-tubular aggregate cell,HAGE,DDX43,1809,0,0.0,-0.10223368288234098
mtab_tumors,Granulocyte,HAGE,DDX43,2271,78,0.034346103038309116,0.21349934626820719
mtab_tumors,Proliferative cell,GAGE,GAGE12C,2062,0,0.0,-0.024588693735872406
mtab_tumors,Pericyte,GAGE,GAGE12C,1216,0,0.0,-0.024588693735872403
mtab_tumors,Columnar epithelial cell,GAGE,GAGE12C,1701,0,0.0,-0.024588693735872406
mtab_tumors,Meiotic prophase fetal germ cell,GAGE,GAGE12C,1730,0,0.0,-0.024588693735872406
