cancer_type,n_cells,n_pos,mean_expr,gene,fraction_pos
Cancer cell,1260,226,0.1558044345152218,CTCF,0.17936507936507937
Normal cell,16704,5141,0.27827820954379945,CTCF,0.3077705938697318
Cancer cell,1260,10,0.005784889132377901,CTCFL,0.007936507936507936
Normal cell,16704,953,0.059766571479763685,CTCFL,0.0570522030651341
Cancer cell,1260,13,0.007126034035169401,DPEP3,0.010317460317460317
Normal cell,16704,1195,0.08362073984704396,DPEP3,0.0715397509578544
