celltype_leiden_res_1.0,MAGEA4,MAGEB2,CTAG2,SYCP1,BRDT,SPANXN2,PAGE5,PAGE1,PAGE2,PAGE2B,PAGE4,IL13RA2,CTCFL,LUZP4,SPO11,FMR1NB,TDRD1,TEX15,TPTE,HORMAD1,CT47B1,RBM46,PBK,CABYR,PLAC1,LY6K,DPPA2,FAM133A,MAEL,PRAME,TEX101,NR6A1,TMPRSS12,DMRT1
Endothelial,0.0075770559362927275,-0.11590903322999387,-0.07346885602138979,-0.08296246410742021,-0.13061411652988417,-0.01964504684550742,-0.09714960000729558,-0.018097158530725754,-0.09948009623591249,-0.13477743614034426,-0.09552395498211332,-0.4337718005700448,-0.12141670978959371,-0.1578706744343517,-0.08262171592185637,-0.029915420525780015,-0.1491383559653991,-0.14376118152472225,-0.1317647044831161,-0.11490326763534958,-0.05590606201600781,-0.18835108791539354,-0.04854880121959052,-0.12131990101288401,-0.1658392699060649,-0.21784478900942447,-0.06486813533429285,-0.1735320310032314,-0.17577622304639748,-0.18027900539285135,-0.07518215780808751,-0.11923760872921173,-0.03383034239739503,-0.1520308718447319
Epithelial,-0.042139202425439726,-0.10977205439202285,-0.06309888211390828,-0.06756442004644862,-0.11909269858295159,-0.019645046845507417,-0.0767163771191634,-0.018097158530725754,-0.09281764268350756,-0.11055900586694489,-0.0910144012412282,0.10813354839568488,-0.11180905283851984,-0.1478181097951383,-0.0649992822024589,-0.02991542052578002,-0.13105512168015823,-0.12308065795328771,-0.11527403083810701,-0.12152378469526401,-0.04816201972753077,-0.17366108194712876,-0.1613082895699789,-0.12282294185192592,-0.19482831120638616,-0.15708711633776865,-0.05254891780531903,-0.1591773121216565,-0.16480892046708964,-0.1633428262760093,-0.05937631379043993,-0.1443185409705437,-0.02853150563562706,-0.14546463065134685
Immune,-0.04487660781207319,-0.11590903322999387,-0.07346885602138979,-0.1018655333095449,-0.13061411652988417,-0.01964504684550742,-0.09714960000729558,-0.018097158530725754,0.034127386622176605,-0.10860623214065378,-0.09552395498211333,-0.4495348872445471,-0.1214167097895937,-0.1578706744343517,-0.08262171592185635,-0.029915420525780015,-0.1491383559653991,-0.08945313781479043,-0.1317647044831161,-0.1386830946290407,-0.05590606201600781,-0.18835108791539354,-0.20387076081463978,-0.038551827248555985,-0.19584831241339667,-0.12117581844937493,-0.06486813533429285,-0.17932911764224163,-0.18173736660242532,-0.18588203873928244,-0.07518215780808751,-0.23069414377431374,-0.03383034239739503,-0.1520308718447319
Meiotic germ cells,0.6289073338407442,2.7259900343919603,2.190564306015147,3.6917645719557517,4.4745830073322574,-0.01964504684550742,2.7098102343999697,0.19215127712666538,3.549721421166758,4.85545931000115,0.7121909564049739,0.011796312474862793,3.444640174149765,2.1241651026350854,3.2533872737430447,0.43249185595015127,4.943831868956156,3.7669189277991437,3.088608018619673,4.232590999822766,1.668611339772767,4.410610106158936,1.5296401169366087,3.872251924579628,-0.17446903697433522,4.828435649634128,0.517437683777645,2.6632995388246177,5.228985144991422,4.591132824109489,2.688071327075525,0.773468715584919,0.5558449721624039,0.30709026892089814
Mixed,-0.04487660781207319,-0.11590903322999388,-0.06956246777603844,-0.059756800295064555,-0.12474055778980382,0.017124292775943982,-0.08553936057322219,-0.018097158530725754,-0.09399794549695004,-0.12843308378637056,-0.08451480810876122,-0.29940078610637527,-0.11031933881980185,-0.1233522935486028,-0.08262171592185637,-0.023780915681421738,-0.13493749811707212,-0.1276661158438109,-0.11892453881867494,-0.12053505619855277,-0.05590606201600781,-0.17567814672862192,-0.18539755345199485,0.05120255790259532,0.18432556095664848,-0.18119820545083815,-0.05902971193680465,-0.05629600371830537,-0.15714382811922176,-0.17217599005501943,-0.07518215780808751,0.17965663157846629,-0.03383034239739503,0.04600086106243782
Proliferating,-0.04487660781207319,-0.09972384226504462,-0.07346885602138979,-0.09006868594714564,-0.11581193368625557,-0.01964504684550742,-0.09714960000729558,-0.018097158530725754,-0.10593918435580356,-0.14191121222490746,-0.06853057542333763,0.030011899761151054,-0.10972644438740685,-0.1578706744343517,-0.07888342498074305,-0.029915420525780015,-0.1355839116961885,-0.03968853084199587,-0.1317647044831161,-0.134324186138882,-0.05590606201600781,-0.1812015994008427,2.93920765257076,-0.034707444655042406,0.726906640119873,-0.09889876545082524,-0.037956723207730574,-0.12660406700858756,-0.1586339003321599,-0.1804470927432829,-0.05480837351778431,-0.19158313267843632,-0.03383034239739503,-0.14197066621912555
RA–responsive germ cells,0.1412285673217558,0.7695464850241066,0.08670929239268674,-0.04886121278431782,0.4971871585083645,-0.01964504684550742,0.32286959470519744,-0.009921316183656667,0.24943200903526253,0.43034024128258064,-0.0881196369222683,-0.41540761784472985,0.5639056154926919,1.65019910310043,-0.051414693993118606,0.025252136163248725,0.49482628396170686,0.523050534245787,0.852504234908209,0.6111978165641381,-0.01208591224832849,1.434431986807359,0.8401373142902139,0.3953423110027438,-0.06866204249882721,0.17259581800538437,0.41202824996022175,1.4532495490128368,1.0416582062792865,1.3557751884850233,-0.029682578169568343,1.742413093993874,-0.012441024603716223,1.7931818789978171
Stromal,-0.04487660781207319,-0.11488356701318693,-0.06976945504598715,-0.10186553330954491,-0.12706288769666674,-0.01964504684550742,-0.09532171945823563,-0.018097158530725754,-0.10379602015013904,-0.13950389473788893,0.0862393786020697,0.0205316460066224,-0.10427029282941772,-0.15500051203957974,-0.08077033477681012,-0.028073717363729746,-0.1332871455781632,-0.11005523818241009,-0.12563848714229126,-0.13758041999902065,-0.05590606201600781,-0.17761296195351897,-0.15761998148217726,-0.1278704704119756,0.15007404613271808,-0.10868956186642632,-0.05810788343094499,-0.1499373821085379,-0.17587747863394138,-0.18405457091754363,-0.07518215780808751,-0.18631325020813244,-0.024618232277676524,-0.14183800568943689
Unknown,-0.036008729056343385,-0.10966261636559002,-0.05792926707820106,-0.0786064128680375,-0.12409423501540723,-0.01597484719464826,-0.08270581108663426,-0.018097158530725754,-0.08728740137578357,-0.11793048870665924,-0.09182596085940925,0.19409625838616024,-0.11461155601802636,-0.14134617628755208,-0.07885017332354488,-0.02991542052578001,-0.12025730518377577,-0.0969788644469784,-0.12001040921377872,-0.123085779563149,-0.05359030799238138,-0.17296029877582705,-0.18503382818120542,-0.13594871468457906,-0.17836403792535543,0.0394346295930062,-0.05211771506678237,-0.16114200452861002,-0.15893747107768172,-0.169496929734515,-0.0685495257138985,-0.1520514105275495,-0.03383034239739503,-0.14618442298854384
