sample_id,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,GAGE,GAGE12J,17964,11,0.000612335782676464,-0.01212775181485191
mtab_tumors,GAGE,GAGE13,17964,11,0.000612335782676464,-0.01212775181485191
mtab_tumors,GAGE,GAGE2A,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE3,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE4,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE5,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE6,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE7,17964,0,0.0,0.0
mtab_tumors,GAGE,GAGE8,17964,0,0.0,0.0
mtab_tumors,GOLGAGL2 FA,GOLGAGL2 FA,17964,0,0.0,0.0
mtab_tumors,GPAT2,GPAT2,17964,0,0.0,0.0
mtab_tumors,GPATCH2,GPATCH2,17964,0,0.0,0.0
mtab_tumors,PIWIL,"HIWI, MIWI, PIWI",17964,0,0.0,0.0
mtab_tumors,HORMAD1,HORMAD1,17964,0,0.0,0.0
mtab_tumors,HORMAD,HORMAD2,17964,0,0.0,0.0
mtab_tumors,HSPB9,HSPB9,17964,11,0.000612335782676464,-0.01645101459673226
mtab_tumors,IGSF11,IGSF11,17964,0,0.0,0.0
mtab_tumors,IL13RA,IL13RA2,17964,497,0.02766644399910933,-0.002356603295049425
mtab_tumors,IMP-3,IMP-3,17964,0,0.0,0.0
mtab_tumors,JARID1B,JARID1B,17964,0,0.0,0.0
mtab_tumors,KIAA0100,KIAA0100,17964,0,0.0,0.0
mtab_tumors,NY-ESO-1,LAGE-1b,17964,0,0.0,0.0
mtab_tumors,LDHC,LDHC,17964,0,0.0,0.0
mtab_tumors,LEMD1,LEMD1,17964,0,0.0,0.0
mtab_tumors,LIPI,LIPI,17964,0,0.0,0.0
mtab_tumors,LYPD6B,LOC130576,17964,0,0.0,0.0
mtab_tumors,LOC196993,LOC196993,17964,0,0.0,0.0
mtab_tumors,LOC348120,LOC348120,17964,0,0.0,0.0
mtab_tumors,LOC440934,LOC440934,17964,0,0.0,0.0
mtab_tumors,LOC647107,LOC647107,17964,0,0.0,0.0
mtab_tumors,TSPY1,LOC728137,17964,0,0.0,0.0
mtab_tumors,HOM-TES-85,LUZP4,17964,0,0.0,0.0
mtab_tumors,LY6K,LY6K,17964,7214,0.40158093965709196,3.164296307103541e-17
mtab_tumors,MAEL,MAEL,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA1,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA10,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA11,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA12,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA2,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA2B,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA3,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA4,17964,418,0.023268759741705634,-0.00036806469808788457
mtab_tumors,MAGEA,MAGEA5,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA6,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA8,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA9,17964,0,0.0,0.0
mtab_tumors,MAGEA,MAGEA9B,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB1,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB2,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB3,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB4,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB5,17964,0,0.0,0.0
mtab_tumors,MAGEB,MAGEB6,17964,0,0.0,0.0
mtab_tumors,MAGEC1,MAGEC1,17964,0,0.0,0.0
mtab_tumors,MAGEC2,MAGEC2,17964,0,0.0,0.0
mtab_tumors,MAGEC1,MAGEC3,17964,0,0.0,0.0
mtab_tumors,KIF2C,MCAK,17964,0,0.0,0.0
mtab_tumors,MMA1,MMA1b,17964,0,0.0,0.0
mtab_tumors,MORC,MORC1,17964,0,0.0,0.0
mtab_tumors,MPHOSPH1,MPHOSPH1,17964,0,0.0,0.0
mtab_tumors,NLRP4,NLRP4,17964,0,0.0,0.0
mtab_tumors,NOL4,NOL4,17964,0,0.0,0.0
mtab_tumors,NR6A1,NR6A1,17964,0,0.0,0.0
mtab_tumors,NXF2,NXF2,17964,0,0.0,0.0
mtab_tumors,NXF2,NXF2B,17964,0,0.0,0.0
mtab_tumors,ODF1,ODF1,17964,0,0.0,0.0
mtab_tumors,ODF2,ODF2,17964,0,0.0,0.0
mtab_tumors,ODF3,ODF3,17964,0,0.0,0.0
mtab_tumors,ODF4,ODF4,17964,0,0.0,0.0
mtab_tumors,OIP5,OIP5,17964,0,0.0,0.0
mtab_tumors,OTOA,OTOA,17964,0,0.0,0.0
mtab_tumors,PAGE-5,PAGE1,17964,0,0.0,0.0
mtab_tumors,PAGE-5,PAGE2,17964,3,0.00016700066800267202,-0.010449221549706586
mtab_tumors,PAGE-5,PAGE2B,17964,0,0.0,0.0
mtab_tumors,PAGE-5,PAGE3,17964,0,0.0,0.0
mtab_tumors,PAGE-5,PAGE4,17964,0,0.0,0.0
mtab_tumors,PAGE-5,PAGE5,17964,0,0.0,0.0
mtab_tumors,PASD1,PASD1,17964,0,0.0,0.0
