,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
74,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,NDRG1,protein_coding,Both
75,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PPP1R14A,protein_coding,Both
76,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,KLF4,protein_coding,Both
77,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SP4,protein_coding,Both
78,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,UPK3A,protein_coding,Both
79,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,S100A10,protein_coding,Both
80,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PLAC8,protein_coding,Both
81,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,COQ7,protein_coding,Both
82,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LAX1,protein_coding,Both
83,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SCN9A,protein_coding,Both
84,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SOX4,protein_coding,Both
85,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CXCR2,protein_coding,Both
86,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DPYSL2,protein_coding,Both
87,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GGTA1,protein_coding,Both
88,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TNFSF12,protein_coding,Both
89,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,OTULINL,protein_coding,Both
90,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,NIBAN1,protein_coding,Both
91,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PIM2,protein_coding,Both
92,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LTK,protein_coding,Both
93,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CTSW,protein_coding,Both
94,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,KLF12,protein_coding,Both
