,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
2252,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,ZNF532,protein_coding,Both
2253,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,BCL2A1,protein_coding,Both
2254,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,XIRP2,protein_coding,Both
2255,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,FAM83D,protein_coding,Both
2256,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,PPP1R12C,protein_coding,Both
2257,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,ZNF526,protein_coding,Both
2258,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,FFAR1,protein_coding,Both
2259,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,ABCA7,protein_coding,Both
2260,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,DIP2B,protein_coding,Both
2261,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,BTN3A1,protein_coding,Both
2262,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,NUAK2,protein_coding,Both
2263,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,CSN1S1,protein_coding,Both
2264,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,CMYA5,protein_coding,Both
2265,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,MAML2,protein_coding,Both
2266,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,CCDC88B,protein_coding,Both
2267,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RUNX3,protein_coding,Both
2268,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,IGF1R,protein_coding,Both
2269,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,DYNLL2,protein_coding,Both
2270,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,KDM7A,protein_coding,Both
2271,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,MALAT1,lncRNA,Both
2272,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,SYT4,protein_coding,Both
2273,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RPS6KA2,protein_coding,Both
2274,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,FCRL1,protein_coding,Both
2275,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,CMPK2,protein_coding,Both
2276,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,ARHGEF1,protein_coding,Both
2277,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,TLE5,protein_coding,Both
2278,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,TMEM156,protein_coding,Both
2279,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,LENG8-AS1,lncRNA,Both
2280,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,PANX2,protein_coding,Both
2281,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,DNASE2,protein_coding,Both
2282,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,PLLP,protein_coding,Both
2283,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,IER5,protein_coding,Both
2284,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,NFATC2,protein_coding,Both
2285,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RASAL3,protein_coding,Both
2286,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,BTN2A1,protein_coding,Both
2287,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,FMNL1,protein_coding,Both
2288,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,MAP3K7CL,protein_coding,Both
2289,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,ZNF606,protein_coding,Both
2290,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,STK4,protein_coding,Both
2291,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,UGT3A2,protein_coding,Both
2292,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RETREG1,protein_coding,Both
2293,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,C15orf39,protein_coding,Both
2294,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,NAA60,protein_coding,Both
2295,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,GSDMB,protein_coding,Both
2296,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,IFI44L,protein_coding,Both
2297,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,OCIAD2,protein_coding,Both
2298,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RNASET2,protein_coding,Both
2299,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,TNFRSF1B,protein_coding,Both
2300,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,WDR53,protein_coding,Both
2301,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,FCHSD2,protein_coding,Both
2302,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,MDGA2,protein_coding,Both
2303,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,RPAIN,protein_coding,Both
2304,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,TRBV23-1,TR_V_gene,Both
2305,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,PIM3,protein_coding,Both
2306,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,TNFSF11,protein_coding,Both
2307,Blood,Umbilical cord blood,Multilymphoid progenitor cell,Lymphoid progenitor cell,Hematopoietic,Stem-Progenitor Cell,Lymphoid progenitor,Stem-Progenitor Cell,PDE7A,protein_coding,Both
2308,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD34,protein_coding,Both
2309,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD36,protein_coding,Both
2310,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD40,protein_coding,Both
2311,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD81,protein_coding,Both
2312,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD151,protein_coding,Both
2313,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FABP5,protein_coding,Both
2314,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FABP6,protein_coding,Both
2315,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TNFRSF1A,protein_coding,Both
2316,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TNFRSF1B,protein_coding,Both
2317,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,VCAM1,protein_coding,Both
2318,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TNFRSF10B,protein_coding,Both
2319,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TNFRSF10A,protein_coding,Both
2320,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KLF4,protein_coding,Both
2321,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD160,protein_coding,Both
2322,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD93,protein_coding,Both
2323,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,THSD1,protein_coding,Both
2324,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD248,protein_coding,Both
2325,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,COLEC11,protein_coding,Both
2326,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,COLEC12,protein_coding,Both
2327,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ESAM,protein_coding,Both
2328,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DCBLD2,protein_coding,Both
2329,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,THSD7A,protein_coding,Both
2330,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ECSCR,protein_coding,Both
2331,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ANPEP,protein_coding,Both
2332,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,BSG,protein_coding,Both
2333,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CDH1,protein_coding,Both
2334,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ACE,protein_coding,Both
2335,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S1PR1,protein_coding,Both
2336,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S1PR3,protein_coding,Both
2337,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FLT1,protein_coding,Both
2338,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FLT4,protein_coding,Both
2339,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ICAM1,protein_coding,Both
2340,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ICAM2,protein_coding,Both
2341,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ITGB2,protein_coding,Both
2342,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ITGB3,protein_coding,Both
2343,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KDR,protein_coding,Both
2344,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MCAM,protein_coding,Both
2345,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MRC1,protein_coding,Both
2346,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PECAM1,protein_coding,Both
2347,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NECTIN2,protein_coding,Both
2348,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SELE,protein_coding,Both
2349,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SELP,protein_coding,Both
2350,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SLAMF1,protein_coding,Both
2351,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TEK,protein_coding,Both
2352,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,THBD,protein_coding,Both
2353,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,VEGFA,protein_coding,Both
2354,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S1PR4,protein_coding,Both
2355,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S1PR2,protein_coding,Both
2356,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SCO2,protein_coding,Both
2357,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CLEC4M,protein_coding,Both
2358,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PROCR,protein_coding,Both
2359,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LYVE1,protein_coding,Both
2360,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S1PR5,protein_coding,Both
2361,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,AGGF1,protein_coding,Both
2362,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PLXDC1,protein_coding,Both
2363,Blood vessel,Blood vessel,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ANTXR1,protein_coding,Both
2364,Blood vessel,Blood vessel,Endothelial progenitor cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,MCAM,protein_coding,Both
2365,Blood vessel,Blood vessel,Endothelial progenitor cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,KDR,protein_coding,Both
2366,Blood vessel,Blood vessel,Endothelial progenitor cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,PECAM1,protein_coding,Both
2367,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,CD14,protein_coding,Both
2368,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,CD34,protein_coding,Both
2369,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,CSF3R,protein_coding,Both
2370,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,ICAM1,protein_coding,Both
2371,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,ICAM2,protein_coding,Both
2372,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,ITGA6,protein_coding,Both
2373,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,ITGA5,protein_coding,Both
2374,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,ITGB1,protein_coding,Both
2375,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,KIT,protein_coding,Both
2376,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,PTPRC,protein_coding,Both
2377,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,SELL,protein_coding,Both
2378,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,SELP,protein_coding,Both
2379,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,TNFRSF1A,protein_coding,Both
2380,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,TNFRSF1B,protein_coding,Both
2381,Blood vessel,Blood vessel,Endothelial stem cell,Endothelial progenitor cell,Mesoderm,Stem-Progenitor Cell,Endothelial cell,Stem-Progenitor Cell,VCAM1,protein_coding,Both
2382,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD27,protein_coding,Both
2383,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD24,protein_coding,Both
2384,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,MS4A1,protein_coding,Both
2385,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD19,protein_coding,Both
2386,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD38,protein_coding,Both
2387,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,IL7R,protein_coding,Both
2388,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,RAG1,protein_coding,Both
2389,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,TNFRSF13C,protein_coding,Both
2390,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,EIF4EBP1,protein_coding,Both
2391,Bone marrow,Bone marrow,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,RAG2,protein_coding,Both
2392,Bone marrow,Bone marrow,Central memory T cell,T cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CCR7,protein_coding,Both
2393,Bone marrow,Bone marrow,Classical monocyte,Monocyte,Hematopoietic,Immune cell,Myeloid,Normal cell,CD14,protein_coding,Both
2394,Bone marrow,Bone marrow,Classical monocyte,Monocyte,Hematopoietic,Immune cell,Myeloid,Normal cell,FCGR3A,protein_coding,Both
2395,Bone marrow,Bone marrow,Conventional dendritic cell(cDC),Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,THBD,protein_coding,Both
2396,Bone marrow,Bone marrow,Conventional dendritic cell(cDC),Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CLEC9A,protein_coding,Both
2397,Bone marrow,Bone marrow,Conventional dendritic cell(cDC),Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD1C,protein_coding,Both
2398,Bone marrow,Bone marrow,Conventional dendritic cell(cDC),Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,XCR1,protein_coding,Both
2399,Bone marrow,Bone marrow,Cytotoxic CD4+ T cell,CD4+ T cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD4,protein_coding,Both
2400,Bone marrow,Bone marrow,Cytotoxic CD4+ T cell,CD4+ T cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,GZMA,protein_coding,Both
2401,Bone marrow,Bone marrow,Cytotoxic CD8+ T cell,CD8+ T cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,GZMA,protein_coding,Both
2402,Bone marrow,Bone marrow,Cytotoxic CD8+ T cell,CD8+ T cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD8A,protein_coding,Both
2403,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,CD33,protein_coding,Both
2404,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,SIGLEC1,protein_coding,Both
2405,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,CX3CR1,protein_coding,Both
2406,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,CLEC4C,protein_coding,Both
2407,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,CD22,protein_coding,Both
2408,Bone marrow,Bone marrow,Dendritic cell progenitor,Dendritic cell progenitor,Hematopoietic,Stem-Progenitor Cell,Myeloid,Stem-Progenitor cell,AXL,protein_coding,Both
