,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
50,Blood,Peripheral blood,Normal cell,Immune cell,Aged memory B cell,B cell,CD19,CD19,protein_coding,Both
51,Blood,Peripheral blood,Normal cell,Immune cell,Aged memory B cell,B cell,FCRL5,FCRL5,protein_coding,Both
52,Blood,Peripheral blood,Normal cell,Immune cell,Antibody Secreting B cell,B cell,CD27,CD27,protein_coding,Both
53,Blood,Peripheral blood,Normal cell,Immune cell,Antibody Secreting B cell,B cell,CD38,CD38,protein_coding,Both
54,Blood,Peripheral blood,Normal cell,Immune cell,Atypical B cell(ABC),B cell,CD72,CD72,protein_coding,Both
55,Blood,Peripheral blood,Normal cell,Immune cell,Atypical B cell(ABC),B cell,FCRL5,FCRL5,protein_coding,Both
56,Blood,Peripheral blood,Normal cell,Immune cell,Atypical B cell(ABC),B cell,ITGAX,ITGAX,protein_coding,Both
57,Blood,Peripheral blood,Normal cell,Immune cell,Atypical B cell(ABC),B cell,LILRB2,LILRB2,protein_coding,Both
58,Blood,Venous blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD19,CD19,protein_coding,Both
59,Blood,Peripheral blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD19,CD19,protein_coding,Both
60,Blood,Venous blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD27,CD27,protein_coding,Both
61,Blood,Venous blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD21,CR2,protein_coding,Both
62,Blood,Peripheral blood,Normal cell,Immune cell,Atypical memory B cell,B cell,FCRL5,FCRL5,protein_coding,Both
63,Blood,Venous blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD10,MME,protein_coding,Both
64,Blood,Venous blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD20,MS4A1,protein_coding,Both
65,Blood,Peripheral blood,Normal cell,Immune cell,Atypical memory B cell,B cell,CD20,MS4A1,protein_coding,Both
66,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,46271,46271,protein_coding,Both
67,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ABCB4,ABCB4,protein_coding,Both
68,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ABCB4,ABCB4,protein_coding,Both
69,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ABCB9,ABCB9,protein_coding,Both
70,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ABHD10,ABHD10,protein_coding,Both
71,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ACAD10,ACAD10,protein_coding,Both
72,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ACBD3,ACBD3,protein_coding,Both
73,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ACP5,ACP5,protein_coding,Both
74,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ACSM2A,ACSM2A,protein_coding,Both
75,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ACSM2B,ACSM2B,protein_coding,Both
76,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ACSM3,ACSM3,protein_coding,Both
77,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ADAM19,ADAM19,protein_coding,Both
78,Blood,Blood,Normal cell,Immune cell,B cell,B cell,ADAM28,ADAM28,protein_coding,Both
79,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ADAM28,ADAM28,protein_coding,Both
80,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ADAM28,ADAM28,protein_coding,Both
81,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,AFF3,AFF3,protein_coding,Both
82,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AFF3,AFF3,protein_coding,Both
83,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,AFF4,AFF4,protein_coding,Both
84,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AHCYL1,AHCYL1,protein_coding,Both
85,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,AHNAK,AHNAK,protein_coding,Both
86,Blood,Blood,Normal cell,Immune cell,B cell,B cell,AID,AICDA,protein_coding,Both
87,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,AIDA,AIDA,protein_coding,Both
88,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AIDA,AIDA,protein_coding,Both
89,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,AIM2,AIM2,protein_coding,Both
90,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,AIM2,AIM2,protein_coding,Both
91,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AIM2,AIM2,protein_coding,Both
92,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AKAP12,AKAP12,protein_coding,Both
93,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AKAP8L,AKAP8L,protein_coding,Both
94,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AKR1C1,AKR1C1,protein_coding,Both
95,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ALG14,ALG14,protein_coding,Both
96,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ALG8,ALG8,protein_coding,Both
97,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ALKBH7,ALKBH7,protein_coding,Both
98,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ALPL,ALPL,protein_coding,Both
99,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AMN1,AMN1,protein_coding,Both
100,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AMT,AMT,protein_coding,Both
101,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ANAPC5,ANAPC5,protein_coding,Both
102,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ANK2,ANK2,protein_coding,Both
103,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ANKHD1,ANKHD1,protein_coding,Both
104,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ANKRD13A,ANKRD13A,protein_coding,Both
105,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ANKRD13A,ANKRD13A,protein_coding,Both
106,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ANKRD44,ANKRD44,protein_coding,Both
107,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AP1B1,AP1B1,protein_coding,Both
108,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,AP1S3,AP1S3,protein_coding,Both
109,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,APOM,APOM,protein_coding,Both
110,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,APPL1,APPL1,protein_coding,Both
111,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AQP7,AQP7,protein_coding,Both
112,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ARHGAP24,ARHGAP24,protein_coding,Both
113,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ARHGAP24,ARHGAP24,protein_coding,Both
114,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ARID5B,ARID5B,protein_coding,Both
115,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ARID5B,ARID5B,protein_coding,Both
116,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ARL3,ARL3,protein_coding,Both
117,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ARSA,ARSA,protein_coding,Both
118,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ASB13,ASB13,protein_coding,Both
119,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ASB15,ASB15,protein_coding,Both
120,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATF7IP2,ATF7IP2,protein_coding,Both
121,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATG101,ATG101,protein_coding,Both
122,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP2A3,ATP2A3,protein_coding,Both
123,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP2B1,ATP2B1,protein_coding,Both
124,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ATP2B1,ATP2B1,protein_coding,Both
125,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP6V0A1,ATP6V0A1,protein_coding,Both
126,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATRX,ATRX,protein_coding,Both
127,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,AVP,AVP,protein_coding,Both
128,Blood,Blood,Normal cell,Immune cell,B cell,B cell,B2M,B2M,protein_coding,Both
129,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,B3GALT6,B3GALT6,protein_coding,Both
130,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,BACH2,BACH2,protein_coding,Both
131,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BACH2,BACH2,protein_coding,Both
132,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BACH2,BACH2,protein_coding,Both
133,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BAK1,BAK1,protein_coding,Both
134,Blood,Blood,Normal cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Both
135,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Both
136,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Female
137,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Both
138,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Both
139,Ovary,Ovarian cortex,Cancer cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Female
140,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BASP1,BASP1,protein_coding,Both
141,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BCAS4,BCAS4,protein_coding,Both
142,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BCAS4,BCAS4,protein_coding,Both
143,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,BCL11A,BCL11A,protein_coding,Both
144,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BCL11A,BCL11A,protein_coding,Both
145,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BCL11A,BCL11A,protein_coding,Both
146,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BCL2L11,BCL2L11,protein_coding,Both
147,Blood,Blood,Normal cell,Immune cell,B cell,B cell,BCL6,BCL6,protein_coding,Both
148,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BCL7A,BCL7A,protein_coding,Both
149,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BCL7A,BCL7A,protein_coding,Both
150,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BEND5,BEND5,protein_coding,Both
151,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BEND5,BEND5,protein_coding,Both
152,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BET1L,BET1L,protein_coding,Both
153,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BHLHE41,BHLHE41,protein_coding,Both
154,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BICD1,BICD1,protein_coding,Both
155,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BIRC3,BIRC3,protein_coding,Both
156,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BIRC3,BIRC3,protein_coding,Both
157,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BLK,BLK,protein_coding,Both
158,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BLK,BLK,protein_coding,Both
159,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,BLNK,BLNK,protein_coding,Both
160,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,BLNK,BLNK,protein_coding,Both
161,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BLNK,BLNK,protein_coding,Both
162,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BLNK,BLNK,protein_coding,Both
164,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BMP2K,BMP2K,protein_coding,Both
165,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BMP8B,BMP8B,protein_coding,Both
166,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BTK,BTK,protein_coding,Both
