,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
6390,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,RPS6,RPS6,protein_coding,Both
6391,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,RPS7,RPS7,protein_coding,Both
6392,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SCG5,SCG5,protein_coding,Both
6393,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SCN2A,SCN2A,protein_coding,Both
6394,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SELM,SELENOM,protein_coding,Both
6395,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SEPW1,SELENOW,protein_coding,Both
6396,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SEMA5A,SEMA5A,protein_coding,Both
6397,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SERPINE2,SERPINE2,protein_coding,Both
6398,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SERPINH1,SERPINH1,protein_coding,Both
6399,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SMOC2,SMOC2,protein_coding,Both
6400,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SNAI2,SNAI2,protein_coding,Both
6401,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,C6orf48,SNHG32,lncRNA,Both
6402,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SPARCL1,SPARCL1,protein_coding,Both
6403,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SPATS2L,SPATS2L,protein_coding,Both
6404,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SRPX,SRPX,protein_coding,Both
6405,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SSBP2,SSBP2,protein_coding,Both
6406,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,STC1,STC1,protein_coding,Both
6407,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SULF1,SULF1,protein_coding,Both
6408,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,SYT1,SYT1,protein_coding,Both
6409,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TCF21,TCF21,protein_coding,Both
6410,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,C8orf4,TCIM,protein_coding,Both
6411,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TFPI,TFPI,protein_coding,Both
6412,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,THY1,THY1,protein_coding,Both
6413,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TIMP3,TIMP3,protein_coding,Both
6414,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TMEM98,TMEM98,protein_coding,Both
6415,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TMSB4X,TMSB4X,protein_coding,Both
6416,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TPM1,TPM1,protein_coding,Both
6417,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TPM2,TPM2,protein_coding,Both
6418,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TSC22D3,TSC22D3,protein_coding,Both
6419,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,TSHZ2,TSHZ2,protein_coding,Both
6420,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,VIM,VIM,protein_coding,Both
6421,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,WNT5A,WNT5A,protein_coding,Both
6422,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,ZFP36L1,ZFP36L1,protein_coding,Both
6423,Gonad,Fetal gonad,Normal cell,Stromal cell,Leydig precursor cell,Leydig precursor cell,ZFP36L2,ZFP36L2,protein_coding,Both
6424,Blood,Blood,Normal cell,Immune cell,Live CD19+ cell,Live CD19+ cell,CD27,CD27,protein_coding,Both
6425,Blood,Blood,Normal cell,Immune cell,Live CD19+ cell,Live CD19+ cell,CD38,CD38,protein_coding,Both
6426,Liver,Fetal liver,Normal cell,Progenitor cell,Liver progenitor cell,Liver progenitor cell,NOTCH3,NOTCH3,protein_coding,Both
6427,Kidney,Kidney,Normal cell,Epithelial cell,Loop of Henle cell,Renal cell,CLDN16,CLDN16,protein_coding,Both
6428,Kidney,Kidney,Normal cell,Epithelial cell,Loop of Henle cell,Renal cell,SLC12A1,SLC12A1,protein_coding,Both
6429,Kidney,Kidney,Normal cell,Epithelial cell,Loop of Henle cell,Renal cell,UMOD,UMOD,protein_coding,Both
6431,Breast,Breast,Cancer cell,Epithelial cell,Luminal cell,Luminal epithelial cell,KRT18,KRT18,protein_coding,Female
6433,Breast,Breast,Normal cell,Epithelial cell,Luminal cell,Luminal epithelial cell,CK8,KRT8,protein_coding,Female
6434,Breast,Breast,Cancer cell,Epithelial cell,Luminal cell,Luminal epithelial cell,KRT8,KRT8,protein_coding,Female
6437,Breast,Breast,Normal cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,ANKRD30A,ANKRD30A,protein_coding,Female
6438,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,AR,AR,protein_coding,Female
6439,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,CD24,CD24,protein_coding,Female
6440,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,CD44,CD44,protein_coding,Female
6441,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,CDH1,CDH1,protein_coding,Female
6442,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,EPCAM,EPCAM,protein_coding,Female
6443,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,ERBB2,ERBB2,protein_coding,Female
6444,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,ESR1,ESR1,protein_coding,Female
6445,Breast,Breast,Normal cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,EMA,ETFA,protein_coding,Female
6446,Breast,Breast,Normal cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,ESA,FLOT2,protein_coding,Female
6449,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,KRT15,KRT15,protein_coding,Female
6450,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,KRT23,KRT23,protein_coding,Female
6451,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,KRT81,KRT81,protein_coding,Female
6452,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,MKI67,MKI67,protein_coding,Female
6454,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,MUC1,MUC1,protein_coding,Female
6455,Breast,Breast,Cancer cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,PGR,PGR,protein_coding,Female
6456,Breast,Breast,Normal cell,Epithelial cell,Luminal epithelial cell,Luminal epithelial cell,SYTL2,SYTL2,protein_coding,Female
6457,Breast,Breast,Cancer cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,ALDH1A3,ALDH1A3,protein_coding,Female
6458,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,CD24,CD24,protein_coding,Female
6459,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,CD44,CD44,protein_coding,Female
6460,Breast,Breast,Cancer cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,EZH2,EZH2,protein_coding,Female
6461,Breast,Breast,Cancer cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,GABRP,GABRP,protein_coding,Female
6462,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,CD49f,ITGA6,protein_coding,Female
6463,Breast,Breast,Cancer cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,KIT,KIT,protein_coding,Female
6464,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,KIT,KIT,protein_coding,Female
6465,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,KRT19,KRT19,protein_coding,Female
6466,Breast,Breast,Cancer cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,CK5,KRT5,protein_coding,Female
6467,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,PROM1,PROM1,protein_coding,Female
6468,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,SLPI,SLPI,protein_coding,Female
6469,Breast,Breast,Normal cell,Epithelial cell,Luminal progenitor cell,Luminal epithelial cell,TNFRSF11A,TNFRSF11A,protein_coding,Female
6470,Breast,Breast,Cancer cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,AGR2,AGR2,protein_coding,Female
6471,Breast,Breast,Cancer cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,ANKRD30A,ANKRD30A,protein_coding,Female
6472,Breast,Breast,Cancer cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,ESR1,ESR1,protein_coding,Female
6473,Breast,Breast,Normal cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,ESR1,ESR1,protein_coding,Female
6474,Breast,Breast,Cancer cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,FOXA1,FOXA1,protein_coding,Female
6475,Breast,Breast,Normal cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,FOXA1,FOXA1,protein_coding,Female
6476,Breast,Breast,Normal cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,PGR,PGR,protein_coding,Female
6477,Breast,Breast,Cancer cell,Epithelial cell,Mature luminal cell,Luminal epithelial cell,PGR,PGR,protein_coding,Female
6478,Blood,Peripheral blood,Normal cell,Progenitor cell,Lung progenitor cell,Lung progenitor cell,NKX2.1,NKX2-1,protein_coding,Both
6479,Ovary,Ovary,Cancer cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,VEGFR-3,FLT4,protein_coding,Female
6480,Uterus,Endometrium,Normal cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,FLT4,FLT4,protein_coding,Female
6481,Ovary,Ovary,Cancer cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,LYVE-1,LYVE1,protein_coding,Female
6482,Ovary,Ovary,Cancer cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,CD31,PECAM1,protein_coding,Female
6483,Ovary,Ovary,Cancer cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,PROX1,PROX1,protein_coding,Female
6484,Uterus,Endometrium,Normal cell,Stromal cell,Lymphatic endothelial cell,Lymphatic endothelial cell,PROX1,PROX1,protein_coding,Female
6485,Liver,Fetal liver,Normal cell,Immune cell,Lymphoblast,Lymphoblast,LEF1,LEF1,protein_coding,Both
6486,Embryo,Embryo,Normal cell,Immune cell,Lymphoblastoid cell,Lymphoblastoid cell,CD52,CD52,protein_coding,Both
6487,Embryo,Embryo,Normal cell,Immune cell,Lymphoblastoid cell,Lymphoblastoid cell,LFA3,CD58,protein_coding,Both
6488,Embryo,Embryo,Normal cell,Immune cell,Lymphoblastoid cell,Lymphoblastoid cell,CD70,CD70,protein_coding,Both
6489,Embryo,Embryo,Normal cell,Immune cell,Lymphoblastoid cell,Lymphoblastoid cell,ENTPD1,ENTPD1,protein_coding,Both
6490,Embryo,Embryo,Normal cell,Immune cell,Lymphoblastoid cell,Lymphoblastoid cell,FCER2,FCER2,protein_coding,Both
6491,Blood,Peripheral blood,Normal cell,Immune cell,Large granular lymphocyte,Lymphocyte,HNK1,B3GAT1,protein_coding,Both
6492,Uterus,Uterus,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD163,CD163,protein_coding,Female
6493,Breast,Breast,Normal cell,Immune cell,Lymphocyte,Lymphocyte,PD-L1,CD274,protein_coding,Female
6494,Ovary,Uterus,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,PD-L1,CD274,protein_coding,Female
6495,Blood,Blood,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD3D,CD3D,protein_coding,Both
6496,Blood,Blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD4,CD4,protein_coding,Both
6497,Blood,Blood,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD4,CD4,protein_coding,Both
6498,Kidney,Kidney,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD52,CD52,protein_coding,Both
6499,Blood,Blood,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD79A,CD79A,protein_coding,Both
6500,Blood,Blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD8,CD8A,protein_coding,Both
6501,Breast,Breast,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD8,CD8A,protein_coding,Female
6502,Blood,Blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CX3CR1,CX3CR1,protein_coding,Both
6503,Blood,Blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD103,ITGAE,protein_coding,Both
6504,Blood,Peripheral blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,LTB,LTB,protein_coding,Both
6505,Embryo,Endometrium,Normal cell,Immune cell,Lymphocyte,Lymphocyte,LYVE1,LYVE1,protein_coding,Female
6506,Blood,Peripheral blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD10,MME,protein_coding,Both
6507,Blood,Blood,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,NKG7,NKG7,protein_coding,Both
6508,Ovary,Uterus,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,PD-1,PDCD1,protein_coding,Female
6509,Blood,Peripheral blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD45,PTPRC,protein_coding,Both
6510,Blood,Blood,Normal cell,Immune cell,Lymphocyte,Lymphocyte,CD45,PTPRC,protein_coding,Both
6511,Ovary,Ovary,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD45,PTPRC,protein_coding,Female
6512,Blood,Blood,Cancer cell,Immune cell,Lymphocyte,Lymphocyte,CD30,TNFRSF8,protein_coding,Both
6513,Blood,Peripheral blood,Normal cell,Immune cell,Proliferative lymphocyte,Lymphocyte,MKI67,MKI67,protein_coding,Both
6514,Blood,Peripheral blood,Normal cell,Immune cell,Proliferative lymphocyte,Lymphocyte,TUBA1B,TUBA1B,protein_coding,Both
6515,Blood,Peripheral blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD19,CD19,protein_coding,Both
6516,Blood,Blood,Cancer cell,Immune cell,Lymphoid cell,Lymphoid cell,CD19,CD19,protein_coding,Both
6517,Blood,Peripheral blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD4,CD4,protein_coding,Both
6518,Blood,Peripheral blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD8,CD8A,protein_coding,Both
6519,Liver,Fetal liver,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,GMFG,GMFG,protein_coding,Both
6520,Liver,Fetal liver,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,ITGA2B,ITGA2B,protein_coding,Both
6521,Blood,Blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD56,NCAM1,protein_coding,Both
6522,Blood,Peripheral blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD56,NCAM1,protein_coding,Both
6523,Liver,Fetal liver,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,CD45,PTPRC,protein_coding,Both
6524,Blood,Blood,Normal cell,Immune cell,Lymphoid cell,Lymphoid cell,TIA1,TIA1,protein_coding,Both
6525,Liver,Fetal liver,Normal cell,Progenitor cell,Lymphoid progenitor cell,Lymphoid progenitor cell,CD7,CD7,protein_coding,Both
6526,Liver,Fetal liver,Normal cell,Progenitor cell,Lymphoid progenitor cell,Lymphoid progenitor cell,IL7R,IL7R,protein_coding,Both
6527,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ADAM19,ADAM19,protein_coding,Both
6528,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ALOX15B,ALOX15B,protein_coding,Both
6529,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ANKRD44,ANKRD44,protein_coding,Both
6530,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ARFGAP1,ARFGAP1,protein_coding,Both
6531,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ASPRV1,ASPRV1,protein_coding,Both
6532,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,B3GAT2,B3GAT2,protein_coding,Both
6533,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CXorf23,BCLAF3,protein_coding,Both
6534,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,BNIP3P11,BNIP3P11,processed_pseudogene,Both
6535,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LINC01125,C2orf92,protein_coding,Both
6536,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CACNB4,CACNB4,protein_coding,Both
6537,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CAPSL,CAPSL,protein_coding,Both
6538,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CCDC168,CCDC168,protein_coding,Both
6539,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CD34,CD34,protein_coding,Both
6540,Blood,Blood,Cancer cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CD34,CD34,protein_coding,Both
6541,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CD47,CD47,protein_coding,Both
6542,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CDK9,CDK9,protein_coding,Both
6543,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CLIP3,CLIP3,protein_coding,Both
6544,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,COBL,COBL,protein_coding,Both
6545,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,COL6A3,COL6A3,protein_coding,Both
6546,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CRAT,CRAT,protein_coding,Both
6547,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,CYTIP,CYTIP,protein_coding,Both
6548,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,KIAA1147,DENND11,protein_coding,Both
6549,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,DPYSL3,DPYSL3,protein_coding,Both
6550,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,EBF1,EBF1,protein_coding,Both
6551,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,EDC4,EDC4,protein_coding,Both
6552,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ETS1,ETS1,protein_coding,Both
6553,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,FAM210B,FAM210B,protein_coding,Both
6554,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,FCRL3,FCRL3,protein_coding,Both
6555,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,FGD6,FGD6,protein_coding,Both
6556,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,GAS7,GAS7,protein_coding,Both
6557,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LINC01059,GRAMD1B,protein_coding,Both
6558,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,GRAMD1B,GRAMD1B,protein_coding,Both
6559,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,GRB2,GRB2,protein_coding,Both
6560,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,HERC4,HERC4,protein_coding,Both
6561,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,ITPK1-AS1,ITPK1-AS1,lncRNA,Both
6562,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,KCTD9,KCTD9,protein_coding,Both
6563,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,KLHL6,KLHL6,protein_coding,Both
6564,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,KLKB1,KLKB1,protein_coding,Both
6565,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LAT2,LAT2,protein_coding,Both
6566,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LCAT,LCAT,protein_coding,Both
6567,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LDB2,LDB2,protein_coding,Both
6568,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LINC01359,LINC01359,lncRNA,Both
6569,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,C20orf197,LINC02910,lncRNA,Both
6570,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,LY6G5C,LY6G5C,protein_coding,Both
6571,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,MMP28,MMP28,protein_coding,Both
6572,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,MTUS1,MTUS1,protein_coding,Both
6573,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,MYO1G,MYO1G,protein_coding,Both
6574,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,NKAIN2,NKAIN2,protein_coding,Both
6575,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,NPL,NPL,protein_coding,Both
6576,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,OAS2,OAS2,protein_coding,Both
6577,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,OXR1,OXR1,protein_coding,Both
6578,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PADI4,PADI4,protein_coding,Both
6579,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PDE1A,PDE1A,protein_coding,Both
6580,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PLAGL2,PLAGL2,protein_coding,Both
6581,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PLCXD2,PLCXD2,protein_coding,Both
6582,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PPP2R3B,PPP2R3B,protein_coding,Both
6583,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PRAME,PRAME,protein_coding,Both
6584,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PROB1,PROB1,protein_coding,Both
6585,Blood,Umbilical cord blood,Normal cell,Progenitor cell,Lymphoid-primed multipotent progenitor cell(LMPP),Lymphoid progenitor cell,PROM1,PROM1,protein_coding,Both
