,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
8757,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF318,ZNF318,protein_coding,Both,,,,,
8758,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF346,ZNF346,protein_coding,Both,,,,,
8759,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF398,ZNF398,protein_coding,Both,,,,,
8760,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF410,ZNF410,protein_coding,Both,,,,,
8761,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF43,ZNF43,protein_coding,Both,,,,,
8762,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF433,ZNF433,protein_coding,Both,,,,,
8763,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF441,ZNF441,protein_coding,Both,,,,,
8764,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF445,ZNF445,protein_coding,Both,,,,,
8765,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF473,ZNF473,protein_coding,Both,,,,,
8766,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF541,ZNF541,protein_coding,Both,,,,,
8767,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF563,ZNF563,protein_coding,Both,,,,,
8768,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF595,ZNF595,protein_coding,Both,,,,,
8769,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF606,ZNF606,protein_coding,Both,,,,,
8770,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF620,ZNF620,protein_coding,Both,,,,,
8771,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF622,ZNF622,protein_coding,Both,,,,,
8772,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF652,ZNF652,protein_coding,Both,,,,,
8773,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF655,ZNF655,protein_coding,Both,,,,,
8774,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF664,ZNF664,protein_coding,Both,,,,,
8775,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF681,ZNF681,protein_coding,Both,,,,,
8776,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF711,ZNF711,protein_coding,Both,,,,,
8777,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF76,ZNF76,protein_coding,Both,,,,,
8778,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF800,ZNF800,protein_coding,Both,,,,,
8779,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZNF92,ZNF92,protein_coding,Both,,,,,
8780,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZPBP,ZPBP,protein_coding,Both,,,,,
8781,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZPBP2,ZPBP2,protein_coding,Both,,,,,
8782,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZRANB2,ZRANB2,protein_coding,Both,,,,,
8783,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ZWINT,ZWINT,protein_coding,Both,,,,,
8784,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ABHD12B,ABHD12B,protein_coding,Both,,,,,
8785,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ABRACL,ABRACL,protein_coding,Both,,,,,
8786,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ACTC1,ACTC1,protein_coding,Both,,,,,
8787,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ACTG2,ACTG2,protein_coding,Both,,,,,
8788,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ACTR1A,ACTR1A,protein_coding,Both,,,,,
8789,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ADAMTS5,ADAMTS5,protein_coding,Both,,,,,
8790,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ADTRP,ADTRP,protein_coding,Both,,,,,
8791,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ALDOC,ALDOC,protein_coding,Both,,,,,
8792,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ANXA3,ANXA3,protein_coding,Both,,,,,
8793,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,APRT,APRT,protein_coding,Both,,,,,
8794,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ARL4D,ARL4D,protein_coding,Both,,,,,
8795,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ARMCX3,ARMCX3,protein_coding,Both,,,,,
8796,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ASPA,ASPA,protein_coding,Both,,,,,
8797,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ATP5G1,ATP5MC1,protein_coding,Both,,,,,
8798,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ATP6V1F,ATP6V1F,protein_coding,Both,,,,,
8799,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,BEX2,BEX2,protein_coding,Both,,,,,
8800,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,NGFRAP1,BEX3,protein_coding,Both,,,,,
8801,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,BEX4,BEX4,protein_coding,Both,,,,,
8802,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,BOLA3,BOLA3,protein_coding,Both,,,,,
8803,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,BZW2,BZW2,protein_coding,Both,,,,,
8804,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,RPARP-AS1,C10orf95-AS1,lncRNA,Both,,,,,
8805,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CA2,CA2,protein_coding,Both,,,,,
8806,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CARHSP1,CARHSP1,protein_coding,Both,,,,,
8807,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CBWD1,CBWD1,protein_coding,Both,,,,,
8808,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CCDC152,CCDC152,protein_coding,Both,,,,,
8809,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CD38,CD38,protein_coding,Both,,,,,
8810,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CEBPZ,CEBPZ,protein_coding,Both,,,,,
8811,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CHMP4A,CHMP4A,protein_coding,Both,,,,,
8812,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CHST2,CHST2,protein_coding,Both,,,,,
8813,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CLEC4D,CLEC4D,protein_coding,Both,,,,,
8814,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CNN2,CNN2,protein_coding,Both,,,,,
8815,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,COL1A2,COL1A2,protein_coding,Both,,,,,
8816,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,COX7A2,COX7A2,protein_coding,Both,,,,,
8817,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,COX7B,COX7B,protein_coding,Both,,,,,
8818,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,COX8A,COX8A,protein_coding,Both,,,,,
8819,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CPNE8,CPNE8,protein_coding,Both,,,,,
8820,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CRIP1,CRIP1,protein_coding,Both,,,,,
8821,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CTSC,CTSC,protein_coding,Both,,,,,
8822,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CXCL14,CXCL14,protein_coding,Both,,,,,
8823,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,CYSTM1,CYSTM1,protein_coding,Both,,,,,
8824,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,DBI,DBI,protein_coding,Both,,,,,
8825,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,TMEM261,DMAC1,protein_coding,Both,,,,,
8826,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,DPM3,DPM3,protein_coding,Both,,,,,
8827,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,DPPA3,DPPA3,protein_coding,Both,,,,,
8828,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,EEF1D,EEF1D,protein_coding,Both,,,,,
8829,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,EID1,EID1,protein_coding,Both,,,,,
8830,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,EIF3I,EIF3I,protein_coding,Both,,,,,
8831,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ESRG,ESRG,lncRNA,Both,,,,,
8832,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,ETFB,ETFB,protein_coding,Both,,,,,
8833,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,FABP5,FABP5,protein_coding,Both,,,,,
8834,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,FHL2,FHL2,protein_coding,Both,,,,,
8835,Blood,Blood,Normal cell,Immune cell,Hematopoietic stem cell,Hematopoietic stem cell,MLLT3,MLLT3,protein_coding,Both,,,,,
8836,Blood,Blood,Normal cell,Immune cell,Hematopoietic stem cell,Hematopoietic stem cell,MSI2,MSI2,protein_coding,Both,,,,,
8837,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,ANXA2,ANXA2,protein_coding,Both,,,,,
8838,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ASB15,ASB15,protein_coding,Both,,,,,
8839,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP2A3,ATP2A3,protein_coding,Both,,,,,
8840,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP2B1,ATP2B1,protein_coding,Both,,,,,
8841,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ATP6V0A1,ATP6V0A1,protein_coding,Both,,,,,
8842,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BET1L,BET1L,protein_coding,Both,,,,,
8843,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BICD1,BICD1,protein_coding,Both,,,,,
8844,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BLK,BLK,protein_coding,Both,,,,,
8845,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,ASGR2,ASGR2,protein_coding,Both,,,,,
8846,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,C17orf67,C17orf67,protein_coding,Both,,,,,
8847,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,ATP6V0B,ATP6V0B,protein_coding,Both,,,,,
8848,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,ATXN7L3,ATXN7L3,protein_coding,Both,,,,,
8849,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,BAX,BAX,protein_coding,Both,,,,,
8851,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCNB1IP1,CCNB1IP1,protein_coding,Both,,,,,
8852,Kidney,Fetal kidney,Normal cell,Immune cell,Monocyte,Monocyte,BST1,BST1,protein_coding,Both,,,,,
8853,Kidney,Kidney,Cancer cell,Epithelial cell,Proximal Renal epithelial cell,Renal epithelial cell,PDZK1IP1,PDZK1IP1,protein_coding,Both,,,,,
8856,Endometrium,Endometrium,Cancer cell,Epithelial cell,Basal epithelial progenitor cell,Basal epithelial cell,CD15,FUT4,protein_coding,Female,,,,,
8857,Endometrium,Endometrium,Normal cell,Epithelial cell,Ciliated cell,Ciliated epithelial cell,CTH,CTH,protein_coding,Female,,,,,
8858,Breast,Breast,Cancer cell,Fibroblast,Myofibroblast,Myofibroblast,SERPINH1,SERPINH1,protein_coding,Female,,,,,
8859,Breast,Breast,Cancer cell,Fibroblast,Myofibroblast,Myofibroblast,VIM,VIM,protein_coding,Female,,,,,
8862,Breast,Breast,Cancer cell,Pericyte,Pericyte,Pericyte,ACTA2,ACTA2,protein_coding,Female,,,,,
8863,Blood,Peripheral blood,Normal cell,Erythroid cell,Red blood cell (erythrocyte),Erythroid cell,HBA1,HBA1,protein_coding,Both,,,,,
8871,Testis,Testis,Normal cell,Pericyte,m-Pericyte,Pericyte,ADIRF,ADIRF,protein_coding,Male,,,,,
8873,Embryo,Embryo,Normal cell,Germline cell,1-cell stage cell,Blastomere,BNIP1,BNIP1,protein_coding,Both,,,,,
8876,Embryo,Embryo,Normal cell,Germline cell,Morula cell,Blastomere,BTF3L4,BTF3L4,protein_coding,Both,,,,,
8882,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Granulosa cell,Granulosa cell,GLDC,GLDC,protein_coding,Female,,,,,
8884,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Granulosa cell,Granulosa cell,GPX3,GPX3,protein_coding,Female,,,,,
8885,Testis,Testis,Normal cell,Pericyte,F-Pericyte,Pericyte,COL4A1,COL4A1,protein_coding,Male,,,,,
8888,Breast,Breast,Cancer cell,Pericyte,Pericyte,Pericyte,COL1A2,COL1A2,protein_coding,Female,,,,,
8889,Testis,Testis,Normal cell,Pericyte,m-Pericyte,Pericyte,CRIP1,CRIP1,protein_coding,Male,,,,,
8893,Breast,Breast,Cancer cell,Pericyte,Pericyte,Pericyte,DCN,DCN,protein_coding,Female,,,,,
8894,Breast,Breast,Cancer cell,Pericyte,Pericyte,Pericyte,MYH11,MYH11,protein_coding,Female,,,,,
8895,Breast,Breast,Normal cell,Pericyte,Pericyte,Pericyte,RGS5,RGS5,protein_coding,Female,,,,,
8897,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,ACTA2,ACTA2,protein_coding,Female,,,,,
8898,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,CAV1,CAV1,protein_coding,Female,,,,,
8899,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,ITGB1,ITGB1,protein_coding,Female,,,,,
8901,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,MCAM,MCAM,protein_coding,Female,,,,,
8907,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Theca interna cell,Theca cell,CYP17,CYP17A1,protein_coding,Female,,,,,
8909,Prostate,Prostate,Cancer cell,Endothelial cell,Endothelial cell,Endothelial cell,ENG,ENG,protein_coding,Male,,,,,
8911,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Theca interna cell,Theca cell,FBLN5,FBLN5,protein_coding,Female,,,,,
8913,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,MYH11,MYH11,protein_coding,Female,,,,,
8916,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,PDGFRB,PDGFRB,protein_coding,Female,,,,,
8922,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,RGS5,RGS5,protein_coding,Female,,,,,
8926,Ovary,Ovary,Cancer cell,Epithelial cell,Epithelial cell,Epithelial cell,CLDN4,CLDN4,protein_coding,Female,,,,,
8927,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,S100A4,S100A4,protein_coding,Female,,,,,
8928,Testis,Testis,Normal cell,Pericyte,F-Pericyte,Pericyte,CXCL12,CXCL12,protein_coding,Male,,,,,
8930,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,TAGLN,TAGLN,protein_coding,Female,,,,,
8931,Prostate,Prostate,Cancer cell,Fibroblast,Fibroblast,Fibroblast,APOD,APOD,protein_coding,Male,,,,,
8933,Breast,Breast,Cancer cell,Stromal cell,Perivascular cell,Perivascular cell,THY1,THY1,protein_coding,Female,,,,,
8935,Ovary,Ovary,Normal cell,Epithelial cell,Epithelial cell,Epithelial cell,FOLR1,FOLR1,protein_coding,Female,,,,,
8936,Prostate,Prostate,Cancer cell,Fibroblast,Fibroblast,Fibroblast,FBLN1,FBLN1,protein_coding,Male,,,,,
8938,Breast,Breast,Cancer cell,Stromal cell,Stromal cell,Stromal cell,ACTA2,ACTA2,protein_coding,Female,,,,,
8939,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,ACTA2,ACTA2,protein_coding,Female,,,,,
8940,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,CAV1,CAV1,protein_coding,Female,,,,,
8941,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,CD74,CD74,protein_coding,Female,,,,,
8942,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,CLU,CLU,protein_coding,Female,,,,,
8943,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,COL1A1,COL1A1,protein_coding,Female,,,,,
8944,Prostate,Prostate,Cancer cell,Fibroblast,Fibroblast,Fibroblast,FGF2,FGF2,protein_coding,Male,,,,,
8946,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,FAP,FAP,protein_coding,Female,,,,,
8949,Blood,Peripheral blood,Normal cell,Erythroid cell,Erythroid cell,Erythroid cell,GATA1,GATA1,protein_coding,Both,,,,,
8959,Prostate,Prostate,Cancer cell,Fibroblast,Fibroblast,Fibroblast,GJA4,GJA4,protein_coding,Male,,,,,
8961,Testis,Testis,Normal cell,Pericyte,F-Pericyte,Pericyte,ITGA1,ITGA1,protein_coding,Male,,,,,
8962,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,PDGFRA,PDGFRA,protein_coding,Female,,,,,
8968,Breast,Breast,Cancer cell,Fibroblast,Cancer-associated fibroblast,Cancer-associated fibroblast,PDGFRB,PDGFRB,protein_coding,Female,,,,,
8973,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Granulosa cell,Granulosa cell,MGARP,MGARP,protein_coding,Female,,,,,
8974,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Theca interna cell,Theca cell,OGN,OGN,protein_coding,Female,,,,,
8975,Ovary,Ovarian follicle,Normal cell,Reproductive cell,Theca interna cell,Theca cell,RAMP2,RAMP2,protein_coding,Female,,,,,
8977,Testis,Testis,Normal cell,Germline cell,Germ cell,Germ cell,ACTL7B,ACTL7B,protein_coding,Male,,,,,
8980,Brain,Pluripotent stem cell,Normal cell,Neural cell,Sensory neuron,Sensory neuron,TAC1,TAC1,protein_coding,Both,,,,,
8983,Ovary,Ovary,Cancer cell,Epithelial cell,Epithelial cell,Epithelial cell,DSP,DSP,protein_coding,Female,,,,,
8988,Suprarenal gland,Adrenal gland,Cancer cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,PHOX2A,PHOX2A,protein_coding,Both,,,,,
8989,Suprarenal gland,Adrenal gland,Cancer cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,PHOX2B,PHOX2B,protein_coding,Both,,,,,
8990,Suprarenal gland,Adrenal gland,Normal cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,STMN2,STMN2,protein_coding,Both,,,,,
8991,Suprarenal gland,Adrenal gland,Normal cell,Neural cell,Sympathoblast cell,Sympathoblast cell,PRPH,PRPH,protein_coding,Both,,,,,
8992,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ABCA5,ABCA5,protein_coding,Both,,,,,
8993,Embryo,Embryo,Normal cell,Reproductive cell,Oocyte,Oocyte,CENPE,CENPE,protein_coding,Both,,,,,
8994,Ovary,Ovary,Cancer cell,Endothelial cell,Lymphatic endothelial cell,Lymphatic endothelial cell,LYVE-1,LYVE1,protein_coding,Female,,,,,
8995,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ABCC9,ABCC9,protein_coding,Both,,,,,
8996,Blood,Umbilical cord blood,Normal cell,Immune cell,Basophil,Basophil,CD45,PTPRC,protein_coding,Both,,,,,
9003,Blood,Blood,Cancer cell,Immune cell,Leukemic stem cell,Leukemic stem cell,CD25,IL2RA,protein_coding,Both,,,,,
9009,Brain,Pluripotent stem cell,Normal cell,Neural cell,Sensory neuron,Sensory neuron,SSTR2,SSTR2,protein_coding,Both,,,,,
9010,Testis,Testis,Normal cell,Muscle cell,Myoid cell,Myoid cell,MYH11,MYH11,protein_coding,Male,,,,,
9012,Testis,Testis,Normal cell,Muscle cell,Myoid cell,Myoid cell,MYL9,MYL9,protein_coding,Male,,,,,
9013,Blood,Umbilical cord blood,Normal cell,Immune cell,CD4+ T cell,CD4 T cell,IKZF2,IKZF2,protein_coding,Both,,,,,
9015,Testis,Testis,Normal cell,Muscle cell,Myoid cell,Myoid cell,PTCH1,PTCH1,protein_coding,Male,,,,,
9017,Breast,Breast,Cancer cell,Fibroblast,Fibroblast,Fibroblast,PDGFRB,PDGFRB,protein_coding,Female,,,,,
9018,Blood,Blood,Cancer cell,Immune cell,Leukemic stem cell,Leukemic stem cell,CD123,IL3RA,protein_coding,Both,,,,,
9024,Gonad,Fetal gonad,Normal cell,Germline cell,Meiotic prophase fetal germ cell,Meiotic prophase fetal germ cell,ABHD5,ABHD5,protein_coding,Both,,,,,
9029,Breast,Breast,Normal cell,Fibroblast,Fibroblast,Fibroblast,POSTN,POSTN,protein_coding,Female,,,,,
9035,Embryo,Embryo,Normal cell,Trophoblastic cell,Trophectoderm cell,Trophectoderm cell,C4BPB,C4BPB,protein_coding,Both,,,,,
9036,Embryo,Embryo,Normal cell,Trophoblastic cell,Trophectoderm cell,Trophectoderm cell,CAST,CAST,protein_coding,Both,,,,,
9037,Embryo,Embryo,Normal cell,Trophoblastic cell,Trophectoderm cell,Trophectoderm cell,CD24,CD24,protein_coding,Both,,,,,
9038,Embryo,Embryo,Normal cell,Trophoblastic cell,Trophectoderm cell,Trophectoderm cell,CD53,CD53,protein_coding,Both,,,,,
9043,Endometrium,Endometrium,Cancer cell,Epithelial cell,Endometrial progenitor cell,Endometrial cell,IPO13,IPO13,protein_coding,Female,,,,,
9044,Endometrium,Endometrium,Normal cell,Mesenchymal cell,Mesenchymal stem cell,Mesenchymal stem cell,CD166,ALCAM,protein_coding,Female,,,,,
9045,Endometrium,Endometrium,Normal cell,Mesenchymal cell,Mesenchymal stem cell,Mesenchymal stem cell,CD14,CD14,protein_coding,Female,,,,,
9046,Suprarenal gland,Adrenal gland,Normal cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,CARTPT,CARTPT,protein_coding,Both,,,,,
9047,Suprarenal gland,Adrenal gland,Normal cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,GATA3,GATA3,protein_coding,Both,,,,,
9048,Ovary,Ovary,Normal cell,Germline cell,Germinal stem cell,Germinal stem cell,IFITM3,IFITM3,protein_coding,Female,,,,,
9049,Suprarenal gland,Adrenal gland,Cancer cell,Neural cell,Sympathoadrenal cell,Sympathoadrenal cell,HAND1,HAND1,protein_coding,Both,,,,,
9050,Blood,Blood,Normal cell,Immune cell,Monocyte,Monocyte,CD163,CD163,protein_coding,Both,,,,,
9051,Blood,Blood,Normal cell,Immune cell,Monocyte,Monocyte,CD1C,CD1C,protein_coding,Both,,,,,
9052,Breast,Breast,Cancer cell,Epithelial cell,Basal cell,Basal epithelial cell,KRT14,KRT14,protein_coding,Female,,,,,
9053,Blood,Peripheral blood,Normal cell,Immune cell,Classical monocyte,Monocyte,CD74,CD74,protein_coding,Both,,,,,
9055,Blood,Peripheral blood,Normal cell,Immune cell,Monocyte,Monocyte,CD80,CD80,protein_coding,Both,,,,,
9058,Blood,Peripheral blood,Normal cell,Immune cell,Monocyte,Monocyte,CD86,CD86,protein_coding,Both,,,,,
9060,Embryo,Testis,Normal cell,Stromal cell,Sertoli cell,Sertoli cell,SOX9,SOX9,protein_coding,Male,,,,,
9061,Gonad,Fetal gonad,Normal cell,Germline cell,Migration phase fetal germ cell,Migration phase fetal germ cell,FKBP11,FKBP11,protein_coding,Both,,,,,
