,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
48,Blood,Blood,Normal cell,Immune cell,Activated memory B cell,B cell,ZEB2,ZEB2,protein_coding,Both,,,,,
51,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,PLPP5,PLPP5,protein_coding,Both,,,,,
53,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,IGHG1,IGHG1,IG_C_gene,Both,,,,,
54,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD127,IL7R,protein_coding,Both,,,,,
57,Blood,Peripheral blood,Normal cell,Immune cell,Basophil,Basophil,CD69,CD69,protein_coding,Both,,,,,
66,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CEPT1,CEPT1,protein_coding,Both,,,,,
67,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CERS4,CERS4,protein_coding,Both,,,,,
69,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CFI,CFI,protein_coding,Both,,,,,
70,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHAC2,CHAC2,protein_coding,Both,,,,,
71,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CHD7,CHD7,protein_coding,Both,,,,,
72,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHMP7,CHMP7,protein_coding,Both,,,,,
73,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHPF,CHPF,protein_coding,Both,,,,,
74,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHPT1,CHPT1,protein_coding,Both,,,,,
75,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHTF8,CHTF8,protein_coding,Both,,,,,
76,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CIITA,CIITA,protein_coding,Both,,,,,
77,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CINP,CINP,protein_coding,Both,,,,,
78,Blood,Blood,Normal cell,Immune cell,B cell,B cell,ADAM28,ADAM28,protein_coding,Both,,,,,
81,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CKAP4,CKAP4,protein_coding,Both,,,,,
83,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CLDN10,CLDN10,protein_coding,Both,,,,,
84,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CLPTM1L,CLPTM1L,protein_coding,Both,,,,,
85,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD81,CD81,protein_coding,Both,,,,,
87,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNKSR1,CNKSR1,protein_coding,Both,,,,,
89,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CR2,CR2,protein_coding,Both,,,,,
92,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNPY3,CNPY3,protein_coding,Both,,,,,
93,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNR1,CNR1,protein_coding,Both,,,,,
94,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNR2,CNR2,protein_coding,Both,,,,,
95,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COA5,COA5,protein_coding,Both,,,,,
96,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COBLL1,COBLL1,protein_coding,Both,,,,,
97,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COCH,COCH,protein_coding,Both,,,,,
98,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COL19A1,COL19A1,protein_coding,Both,,,,,
