,source,target
271,B cell,CD79A
272,B cell,CD79A
273,B cell,CD79A
274,B cell,CD79A
275,B cell,CD79A
276,B cell,CD79A
277,B cell,CD79A
278,B cell,CD79A
279,B cell,CD79A
280,B cell,CD79A
282,B cell,CD79A
283,B cell,CD79B
284,B cell,CD79B
285,B cell,CD79B
286,B cell,CD79B
287,B cell,CD79B
288,B cell,CD79B
289,B cell,CD79B
290,B cell,CD79B
291,B cell,CD79B
293,B cell,CD79B
294,B cell,CD80
295,B cell,CD81
296,B cell,CD82
297,B cell,CD83
298,B cell,CD83
299,B cell,CD86
300,B cell,CD86
301,B cell,CD99
302,B cell,CDC20
303,B cell,CDCA7L
304,B cell,CDCA7L
305,B cell,CDHR5
306,B cell,CDK1
307,B cell,CDK14
308,B cell,CENPM
309,B cell,CEP120
310,B cell,CEP295
311,B cell,CEPT1
312,B cell,CERS4
313,B cell,CFI
314,B cell,CHAC2
315,B cell,CHD7
316,B cell,CHMP7
317,B cell,CHPF
318,B cell,CHPT1
319,B cell,CHTF8
320,B cell,CIITA
321,B cell,CINP
322,B cell,CKAP4
323,B cell,CLDN10
324,B cell,CLECL1
325,B cell,CLPTM1L
326,B cell,CNKSR1
327,B cell,CNPY3
328,B cell,CNR1
329,B cell,CNR2
330,B cell,COA5
331,B cell,COBLL1
332,B cell,COBLL1
333,B cell,COCH
334,B cell,COL19A1
335,B cell,COL19A1
336,B cell,COL4A4
337,B cell,COL4A4
338,B cell,COL9A3
339,B cell,COQ4
340,B cell,CPNE5
341,B cell,CPNE5
342,B cell,CR1
343,B cell,CR2
344,B cell,CR2
345,B cell,CR2
346,B cell,CR2
347,B cell,CSNK1E
348,B cell,CSNK1G3
349,B cell,CTSH
350,B cell,CTXN3
351,B cell,CUL4B
352,B cell,CXCR4
353,B cell,CXCR4
354,B cell,CXCR4
355,B cell,CXCR5
356,B cell,CXCR5
357,B cell,CXXC5
358,B cell,CXXC5
359,B cell,CYB561A3
360,B cell,CYB561A3
361,B cell,CYB5RL
362,B cell,CYFIP2
363,B cell,CYFIP2
364,B cell,CYSLTR1
365,B cell,DAAM1
366,B cell,DAPP1
367,B cell,DAPP1
368,B cell,DAXX
369,B cell,DDAH2
370,B cell,DDC
371,B cell,DDX11
372,B cell,DDX3X
373,B cell,DENND5B
374,B cell,DERL3
375,B cell,DGKD
376,B cell,DHTKD1
377,B cell,DHTKD1
378,B cell,DHX29
379,B cell,DLAT
380,B cell,DLX4
381,B cell,DMTN
382,B cell,DNAJC10
383,B cell,DNAJC5B
384,B cell,DNAJC9
385,B cell,DNAL1
386,B cell,DPAGT1
387,B cell,DPY30
388,B cell,DRAM2
389,B cell,DRAM2
390,B cell,DUSP22
391,B cell,DYNC2I2
392,B cell,E2F5
393,B cell,EAF2
394,B cell,EBF1
395,B cell,EBF1
396,B cell,EBLN3P
397,B cell,EBLN3P
398,B cell,ECE1
399,B cell,ECSIT
400,B cell,EEF1B2
401,B cell,EEF1B2
402,B cell,EEF1G
403,B cell,EEF2
404,B cell,EFHC1
405,B cell,EGFL7
406,B cell,EGLN1
407,B cell,EHHADH
408,B cell,EHMT1
409,B cell,EIF1AY
410,B cell,EIF3F
411,B cell,EIF4B
412,B cell,ELOA
413,B cell,EMC9
414,B cell,ENAM
415,B cell,EPN2
416,B cell,ERN2
417,B cell,ERO1B
418,B cell,ERP29
419,B cell,EVI2B
420,B cell,EXOSC10
421,B cell,EZR
422,B cell,FA2H
423,B cell,FAM111B
424,B cell,FAM177B
425,B cell,FAM177B
426,B cell,FAM27C
427,B cell,FAM30A
428,B cell,FAM3C
429,B cell,FAS
430,B cell,FBL
431,B cell,FBXO3
432,B cell,FCER2
433,B cell,FCER2
434,B cell,FCER2
435,B cell,FCER2
436,B cell,FCGR2A
437,B cell,FCGR2B
438,B cell,FCHSD2
439,B cell,FCMR
440,B cell,FCMR
441,B cell,FCRL1
442,B cell,FCRL1
443,B cell,FCRL1
444,B cell,FCRL1
445,B cell,FCRL2
446,B cell,FCRL2
447,B cell,FCRL5
448,B cell,FCRL5
449,B cell,FCRLA
450,B cell,FCRLA
451,B cell,FCRLA
452,B cell,FFAR1
453,B cell,FGB
454,B cell,FGD2
455,B cell,FUT8
456,B cell,GABPB1-AS1
457,B cell,GALNTL6
458,B cell,GAPT
459,B cell,GEMIN7
460,B cell,GEMIN8
461,B cell,GEN1
462,B cell,GGA2
463,B cell,GH1
464,B cell,GLDC
465,B cell,GLO1
466,B cell,GLRA3
467,B cell,GMDS
468,B cell,GMPPB
469,B cell,GNB5
470,B cell,GNB5
471,B cell,GNG3
472,B cell,GNG7
473,B cell,GNG7
474,B cell,GOLPH3L
475,B cell,GPC3
476,B cell,GPD1
477,B cell,GPM6A
478,B cell,GPR160
479,B cell,GPR18
480,B cell,GPR183
481,B cell,GPR183
482,B cell,GPRC5D
483,B cell,GRAP
484,B cell,GRB2
485,B cell,GTF2H5
486,B cell,GUCD1
487,B cell,H3C12
488,B cell,H4C3
489,B cell,HADHB
490,B cell,HCCS
491,B cell,HDAC9
492,B cell,HHEX
493,B cell,HHEX
494,B cell,HIP1R
495,B cell,HLA-A
496,B cell,HLA-DMA
497,B cell,HLA-DMA
498,B cell,HLA-DMB
499,B cell,HLA-DMB
500,B cell,HLA-DOB
501,B cell,HLA-DOB
502,B cell,HLA-DPA1
503,B cell,HLA-DPA1
504,B cell,HLA-DPB1
505,B cell,HLA-DPB1
506,B cell,HLA-DPB1
507,B cell,HLA-DQA1
508,B cell,HLA-DQA1
509,B cell,HLA-DQB1
510,B cell,HLA-DQB1
511,B cell,HLA-DQB2
512,B cell,HLA-DRA
513,B cell,HLA-DRA
514,B cell,HLA-DRA
515,B cell,HLA-DRB1
516,B cell,HLA-DRB1
517,B cell,HLA-DRB5
518,B cell,HLA-DRB5
519,B cell,HLA-E
520,B cell,HMGB3
521,B cell,HOXB6
522,B cell,HRK
523,B cell,HSH2D
524,B cell,HSP90AB1
525,B cell,HSPA13
526,B cell,HVCN1
527,B cell,HVCN1
528,B cell,HYI
529,B cell,IARS1
530,B cell,ID3
531,B cell,ID3
532,B cell,IFI27L1
533,B cell,IFNG-AS1
534,B cell,IFNGR2
535,B cell,IFRD2
536,B cell,IFT57
537,B cell,IFT57
538,B cell,IGF1
539,B cell,IGFBP4
540,B cell,IGHA1
541,B cell,IGHA1
542,B cell,IGHA1
543,B cell,IGHA1
544,B cell,IGHA2
545,B cell,IGHA2
546,B cell,IGHA2
547,B cell,IGHD
548,B cell,IGHD
549,B cell,IGHD
550,B cell,IGHD
551,B cell,IGHD
552,B cell,IGHD
553,B cell,IGHE
554,B cell,IGHE
555,B cell,IGHG1
556,B cell,IGHG1
557,B cell,IGHG1
558,B cell,IGHG1
559,B cell,IGHG2
560,B cell,IGHG2
561,B cell,IGHG2
562,B cell,IGHG2
563,B cell,IGHG2
564,B cell,IGHG3
565,B cell,IGHG3
566,B cell,IGHG3
567,B cell,IGHG4
568,B cell,IGHG4
569,B cell,IGHG4
570,B cell,IGHGP
571,B cell,IGHM
572,B cell,IGHM
573,B cell,IGHM
574,B cell,IGHM
575,B cell,IGHM
576,B cell,IGHM
577,B cell,IGHM
578,B cell,IGHV3-15
579,B cell,IGHV3-23
580,B cell,IGHV3-7
581,B cell,IGHV6-1
582,B cell,IGKC
583,B cell,IGKC
584,B cell,IGKC
585,B cell,IGKC
586,B cell,IGKC
587,B cell,IGKC
588,B cell,IGKC
589,B cell,IGKV1-12
590,B cell,IGKV1-12
591,B cell,IGKV1-5
592,B cell,IGKV3-20
593,B cell,IGKV3D-11
594,B cell,IGKV3D-20
595,B cell,IGKV4-1
596,B cell,IGLC2
597,B cell,IGLC2
598,B cell,IGLC2
599,B cell,IGLC3
600,B cell,IGLC3
601,B cell,IGLC3
602,B cell,IGLC5
603,B cell,IGLC6
604,B cell,IGLC7
605,B cell,IGLC7
606,B cell,IGLL1
607,B cell,IGLL1
608,B cell,IGLL5
609,B cell,IGLL5
610,B cell,IGLL5
611,B cell,IGLV3-1
612,B cell,IGLV4-69
613,B cell,IGLV6-57
614,B cell,IGLV7-43
615,B cell,IL12A
616,B cell,IL13RA1
617,B cell,IL2RA
618,B cell,IL2RA
619,B cell,IL4R
620,B cell,IL6
621,B cell,IL7
622,B cell,IL7R
623,B cell,ING5
624,B cell,INPP5D
625,B cell,INTU
626,B cell,IRAG2
627,B cell,IRF8
628,B cell,IRF8
629,B cell,ISG20
630,B cell,ISG20
631,B cell,ITGB1
632,B cell,ITM2C
633,B cell,ITSN2
634,B cell,JADE3
635,B cell,JCHAIN
636,B cell,JCHAIN
637,B cell,JCHAIN
638,B cell,JCHAIN
639,B cell,JCHAIN
640,B cell,JCHAIN
641,B cell,JCHAIN
642,B cell,JCHAIN
643,B cell,JCHAIN
644,B cell,JUNB
645,B cell,JUP
646,B cell,KCNK5
647,B cell,KCNN3
648,B cell,KCNN4
649,B cell,KDM5D
650,B cell,KHDRBS2
651,B cell,KHDRBS2
652,B cell,KIF12
653,B cell,KIZ
654,B cell,KLF13
655,B cell,KLF2
656,B cell,KLHL14
657,B cell,KLHL5
658,B cell,LAGE3
659,B cell,LAMC1
660,B cell,LAMP5
661,B cell,LAPTM5
662,B cell,LAPTM5
663,B cell,LARP6
664,B cell,LCN8
665,B cell,LDHD
666,B cell,LEMD3
667,B cell,LGALS3BP
668,B cell,LGMN
669,B cell,LGR4
670,B cell,LHPP
671,B cell,LILRA4
672,B cell,LRRC4C
673,B cell,LRWD1
674,B cell,LSM12
675,B cell,LSM7
676,B cell,LTB
677,B cell,LTB
678,B cell,LY86
679,B cell,LY9
680,B cell,LY9
681,B cell,LYL1
682,B cell,LYN
683,B cell,LYPLA1
684,B cell,LYPLAL1
685,B cell,LYRM4
686,B cell,MACROD2
687,B cell,MAN1A1
688,B cell,MAP3K20-AS1
689,B cell,MARCKSL1
690,B cell,MBD4
691,B cell,MCEE
692,B cell,MDS2
693,B cell,MED22
694,B cell,MED31
695,B cell,MEF2A
696,B cell,MEF2C
697,B cell,MEF2C
698,B cell,METTL17
699,B cell,METTL25
700,B cell,METTL8
701,B cell,MFN1
702,B cell,MGAT5
703,B cell,MICAL3
704,B cell,MICAL3
705,B cell,MIR29B2CHG
706,B cell,MIR29B2CHG
707,B cell,MIXL1
708,B cell,MKI67
709,B cell,MME
710,B cell,MME
711,B cell,MME
712,B cell,MMP7
713,B cell,MOB3B
714,B cell,MORN2
715,B cell,MOXD1
716,B cell,MPZL1
717,B cell,MRPL24
718,B cell,MRPS16
719,B cell,MRPS2
720,B cell,MRPS25
721,B cell,MRPS27
722,B cell,MS4A1
723,B cell,MS4A1
724,B cell,MS4A1
725,B cell,MS4A1
726,B cell,MS4A1
727,B cell,MS4A1
728,B cell,MS4A1
729,B cell,MS4A1
730,B cell,MS4A1
731,B cell,MS4A1
732,B cell,MS4A1
733,B cell,MS4A1
734,B cell,MS4A1
735,B cell,MS4A1
736,B cell,MS4A1
737,B cell,MS4A1
738,B cell,MS4A1
739,B cell,MS4A1
740,B cell,MS4A1
743,B cell,MS4A1
744,B cell,MS4A1
745,B cell,MSL3
746,B cell,MT1E
747,B cell,MTCH2
748,B cell,MTHFD2L
749,B cell,MTRNR2L8
750,B cell,MTSS1
751,B cell,MYBL2
752,B cell,MYC
753,B cell,MYC
754,B cell,MYCBP2
755,B cell,MYO1D
756,B cell,MZB1
757,B cell,MZB1
758,B cell,NAA50
759,B cell,NAP1L1
760,B cell,NAPSA
761,B cell,NBEAL1
762,B cell,NCAM1
763,B cell,NCF1
764,B cell,NCF1
765,B cell,NCF4
766,B cell,NCOA3
767,B cell,NDUFAF6
768,B cell,NEK6
769,B cell,NEK8
770,B cell,NEK9
771,B cell,NFKB2
772,B cell,NFKBIA
