,source,target
4069,Endothelial cell,NNMT
4071,Endothelial cell,NR2F1-AS1
4072,Endothelial cell,NR2F2
4073,Endothelial cell,NRP1
4074,Endothelial cell,NRP1
4075,Endothelial cell,NSMCE2
4076,Endothelial cell,NSMCE4A
4077,Endothelial cell,NT5E
4078,Endothelial cell,NUDT1
4079,Endothelial cell,OCLN
4080,Endothelial cell,PCDH17
4081,Endothelial cell,PCLAF
4082,Endothelial cell,PCOLCE
4083,Endothelial cell,PDCL
4084,Endothelial cell,PDE6D
4085,Endothelial cell,PEAR1
4086,Endothelial cell,PECAM1
4087,Endothelial cell,PECAM1
4088,Endothelial cell,PECAM1
4089,Endothelial cell,PECAM1
4090,Endothelial cell,PECAM1
4091,Endothelial cell,PECAM1
4092,Endothelial cell,PECAM1
4093,Endothelial cell,PECAM1
4094,Endothelial cell,PECAM1
4095,Endothelial cell,PECAM1
4096,Endothelial cell,PECAM1
4097,Endothelial cell,PECAM1
4098,Endothelial cell,PECAM1
4099,Endothelial cell,PECAM1
4100,Endothelial cell,PECAM1
4101,Endothelial cell,PECAM1
4102,Endothelial cell,PECAM1
4103,Endothelial cell,PECAM1
4104,Endothelial cell,PECAM1
4105,Endothelial cell,PECAM1
4106,Endothelial cell,PECAM1
4107,Endothelial cell,PECAM1
4109,Endothelial cell,PECAM1
4110,Endothelial cell,PECAM1
4112,Endothelial cell,PECAM1
4113,Endothelial cell,PECAM1
4114,Endothelial cell,PECAM1
4115,Endothelial cell,PECAM1
4116,Endothelial cell,PFN1
4117,Endothelial cell,PLK2
4118,Endothelial cell,PLVAP
4119,Endothelial cell,PLVAP
4120,Endothelial cell,POLK
4121,Endothelial cell,POLR2E
4122,Endothelial cell,PPIH
4123,Endothelial cell,PPP6C
4124,Endothelial cell,PROCR
4125,Endothelial cell,PROM1
4126,Endothelial cell,PROM1
4127,Endothelial cell,PRR11
4129,Endothelial cell,PSMB3
4130,Endothelial cell,PTEN
4131,Endothelial cell,PTMA
4132,Endothelial cell,PTN
4133,Endothelial cell,PTPRB
4134,Endothelial cell,PTPRC
4135,Endothelial cell,PTPRC
4136,Endothelial cell,PTPRC
4137,Endothelial cell,PTPRC
4138,Endothelial cell,PTTG1
4139,Endothelial cell,RAB1B
4140,Endothelial cell,RAD51
4141,Endothelial cell,RAMP2
4142,Endothelial cell,RAMP2
4143,Endothelial cell,RAMP2
4144,Endothelial cell,RANBP1
4145,Endothelial cell,RASGRP3
4147,Endothelial cell,RCBTB2
4148,Endothelial cell,RCHY1
4149,Endothelial cell,RFWD3
4150,Endothelial cell,RGS5
4151,Endothelial cell,RPAP2
4152,Endothelial cell,RUNX1
4153,Endothelial cell,S100A4
4154,Endothelial cell,SASH1
4155,Endothelial cell,SELE
4157,Endothelial cell,SELENOP
4158,Endothelial cell,SEMA3G
4159,Endothelial cell,SERPING1
4160,Endothelial cell,SERPINH1
4161,Endothelial cell,SH3BGRL3
4162,Endothelial cell,SKA2
4163,Endothelial cell,SLC14A1
4164,Endothelial cell,SLC35E3
4165,Endothelial cell,SLC39A9
4166,Endothelial cell,SLIT2
4167,Endothelial cell,SMAD1
4168,Endothelial cell,SMTN
4169,Endothelial cell,SNAI2
4170,Endothelial cell,SNAP47
4171,Endothelial cell,SNRPD1
4172,Endothelial cell,SOCS3
4173,Endothelial cell,SOX17
4174,Endothelial cell,SOX17
4175,Endothelial cell,SOX18
4176,Endothelial cell,SOX18
4177,Endothelial cell,SOX4
4178,Endothelial cell,SPAG5
4179,Endothelial cell,SPARCL1
4180,Endothelial cell,SPATS2L
4181,Endothelial cell,SPTBN1
4182,Endothelial cell,SSBP2
4183,Endothelial cell,ST6GAL1
4184,Endothelial cell,ST8SIA1
4185,Endothelial cell,STMN1
4186,Endothelial cell,STX7
4187,Endothelial cell,TACC3
4188,Endothelial cell,TEK
4189,Endothelial cell,TEK
4190,Endothelial cell,TEK
4191,Endothelial cell,TEK
4192,Endothelial cell,TFF3
4193,Endothelial cell,TFPI
4194,Endothelial cell,THOC3
4195,Endothelial cell,THY1
4196,Endothelial cell,TIE1
4197,Endothelial cell,TIE1
4199,Endothelial cell,TIMP3
4200,Endothelial cell,TM4SF1
4201,Endothelial cell,TMEM107
4202,Endothelial cell,TMEM116
4203,Endothelial cell,TMSB15A
4204,Endothelial cell,TMSB4X
4205,Endothelial cell,TSPAN12
4206,Endothelial cell,TSPAN4
4207,Endothelial cell,TSPO
4208,Endothelial cell,TTK
4209,Endothelial cell,TUBB
4210,Endothelial cell,TUBB6
4211,Endothelial cell,TXNIP
4212,Endothelial cell,VCAM1
4213,Endothelial cell,VEGFC
4214,Endothelial cell,VIM
4215,Endothelial cell,VWF
4216,Endothelial cell,VWF
4217,Endothelial cell,VWF
4218,Endothelial cell,VWF
4219,Endothelial cell,VWF
4220,Endothelial cell,VWF
4221,Endothelial cell,VWF
4222,Endothelial cell,VWF
4223,Endothelial cell,VWF
4226,Endothelial cell,VWF
4227,Endothelial cell,WDHD1
4228,Endothelial cell,WDR76
4229,Endothelial cell,WWOX
4230,Endothelial cell,XRCC5
4231,Endothelial cell,ZBTB2
4232,Endothelial cell,ZBTB44
4233,Endothelial cell,ZCCHC24
4234,Endothelial cell,ZEB1
4235,Endothelial cell,ZNF195
4236,Endothelial cell,ZNF286A
4237,Endothelial cell,ZNF362
4238,Endothelial cell,ZNF521
4239,Endothelial cell,ZNF652
4240,Endothelial cell,FLT1
4241,Endothelial cell,KDR
4242,Endothelial cell,KDR
4243,Endothelial cell,PECAM1
4244,Endothelial cell,PROM1
4245,Endothelial cell,TEK
4246,Endothelial cell,CD34
4247,Endothelial cell,CD34
4248,Endothelial cell,CD34
4249,Endothelial cell,CD36
4250,Endothelial cell,GDF15
4251,Endothelial cell,KDR
4252,Endothelial cell,KDR
4253,Endothelial cell,PECAM1
4254,Endothelial cell,PECAM1
4255,Endothelial cell,PROM1
4256,Endothelial cell,PROM1
4257,Endothelial cell,PROM1
4258,Endothelial cell,PTPRC
4259,Endothelial cell,PTPRC
4260,Endothelial cell,PTPRC
4261,Endothelial cell,EMCN
4262,Endothelial cell,PECAM1
4263,Endothelial cell,PLVAP
4264,Endothelial cell,A2M
4265,Endothelial cell,ABCG1
4266,Endothelial cell,ABHD2
4267,Endothelial cell,ACP2
4268,Endothelial cell,ACTB
4269,Endothelial cell,ADAM15
4270,Endothelial cell,ADAMTS7
4271,Endothelial cell,ADAMTS9
4272,Endothelial cell,ADD3
4273,Endothelial cell,ADM
4274,Endothelial cell,AGAP6
4275,Endothelial cell,AGO4
4276,Endothelial cell,AIF1
4277,Endothelial cell,AKAP12
4278,Endothelial cell,AMOTL1
4279,Endothelial cell,ANGPT1
4280,Endothelial cell,ANGPTL4
4281,Endothelial cell,ANKRD6
4282,Endothelial cell,ANP32E
4283,Endothelial cell,ANXA11
4284,Endothelial cell,ANXA2
4285,Endothelial cell,APP
4286,Endothelial cell,ARHGAP28
4287,Endothelial cell,ARHGAP29
4288,Endothelial cell,ARHGEF2
4289,Endothelial cell,ARHGEF3
4290,Endothelial cell,ARHGEF7
4291,Endothelial cell,ARMCX2
4292,Endothelial cell,ARPC1B
4293,Endothelial cell,ARRB1
4294,Endothelial cell,ASAP1
4295,Endothelial cell,ASAP2
4296,Endothelial cell,ASB7
4297,Endothelial cell,ATP8A1
4298,Endothelial cell,B4GALT6
4299,Endothelial cell,BAZ1A
4300,Endothelial cell,BCAP29
4301,Endothelial cell,BCHE
4302,Endothelial cell,BID
4303,Endothelial cell,BIK
4304,Endothelial cell,BIN3
4305,Endothelial cell,BIRC5
4306,Endothelial cell,BLCAP
4307,Endothelial cell,BRD9
4308,Endothelial cell,BUB1
4309,Endothelial cell,BZW2
4310,Endothelial cell,C1orf21
4311,Endothelial cell,C1QTNF3
4312,Endothelial cell,CALCRL
4313,Endothelial cell,CALM1
4314,Endothelial cell,CALML4
4315,Endothelial cell,CAPG
4316,Endothelial cell,CARD8
4317,Endothelial cell,CAVIN1
4318,Endothelial cell,CCDC167
4319,Endothelial cell,CCDC85A
4320,Endothelial cell,CCDC85B
4321,Endothelial cell,CCN1
4322,Endothelial cell,CCN2
4323,Endothelial cell,CCND1
4324,Endothelial cell,CCPG1
4325,Endothelial cell,CD109
4326,Endothelial cell,CD200
4327,Endothelial cell,CD24
4328,Endothelial cell,CDC34
4329,Endothelial cell,CDC37
4330,Endothelial cell,CDC42EP1
4331,Endothelial cell,CDCA5
4332,Endothelial cell,CDCA7
4333,Endothelial cell,CDCA8
4334,Endothelial cell,CDK2AP1
4335,Endothelial cell,CDYL
4336,Endothelial cell,CHEK2
4337,Endothelial cell,CHPF2
4338,Endothelial cell,CHST12
4339,Endothelial cell,CHST15
4340,Endothelial cell,CKS1B
4341,Endothelial cell,CLIC1
4342,Endothelial cell,CMTM7
4343,Endothelial cell,CNN2
4344,Endothelial cell,CNOT1
4345,Endothelial cell,COL5A2
4346,Endothelial cell,COL6A2
4347,Endothelial cell,COTL1
4348,Endothelial cell,CPNE2
4349,Endothelial cell,CREB5
4350,Endothelial cell,CRIP2
4351,Endothelial cell,CROCCP2
4352,Endothelial cell,CSRNP3
4353,Endothelial cell,CSRP1
4354,Endothelial cell,CSRP2
4355,Endothelial cell,CTDSP2
4356,Endothelial cell,CTDSPL
4357,Endothelial cell,CTTNBP2
4358,Endothelial cell,CYBA
4359,Endothelial cell,CYP26B1
4360,Endothelial cell,CYYR1
4361,Endothelial cell,DAB2
4362,Endothelial cell,DAB2IP
4363,Endothelial cell,DCTN5
4364,Endothelial cell,DENND3
4365,Endothelial cell,DGKZ
4366,Endothelial cell,DIMT1
4367,Endothelial cell,DIP2B
4368,Endothelial cell,DIPK1B
4369,Endothelial cell,DIXDC1
4370,Endothelial cell,DNAJC21
4371,Endothelial cell,DNMT1
4372,Endothelial cell,DOCK4
4373,Endothelial cell,DOCK9
4374,Endothelial cell,DPAGT1
4375,Endothelial cell,DUSP6
4376,Endothelial cell,EDIL3
4377,Endothelial cell,EDN1
4378,Endothelial cell,EDNRB
4379,Endothelial cell,EFNA1
4380,Endothelial cell,EFNA5
4381,Endothelial cell,EFNB2
4382,Endothelial cell,EGFL7
4383,Endothelial cell,EGLN3
4384,Endothelial cell,ELF1
4385,Endothelial cell,ELK3
4386,Endothelial cell,ELOVL1
4387,Endothelial cell,EMCN
4388,Endothelial cell,ENG
4389,Endothelial cell,ENTPD1
4390,Endothelial cell,EPB41L2
4391,Endothelial cell,EPHA2
4392,Endothelial cell,EPHB4
4393,Endothelial cell,ETS1
4394,Endothelial cell,ETS2
4395,Endothelial cell,ETV6
4396,Endothelial cell,EVA1B
4397,Endothelial cell,F2R
4398,Endothelial cell,FAM107B
4399,Endothelial cell,FAM171A1
4400,Endothelial cell,FAM234B
4401,Endothelial cell,FBLIM1
4402,Endothelial cell,FBXL7
4403,Endothelial cell,FCGRT
4404,Endothelial cell,FDX1
4405,Endothelial cell,FHIP2A
4406,Endothelial cell,FKBP1A
4407,Endothelial cell,FKBP5
4408,Endothelial cell,FLRT2
4409,Endothelial cell,FMNL3
4410,Endothelial cell,FN1
4411,Endothelial cell,FNBP1
4412,Endothelial cell,FOXC1
4413,Endothelial cell,FRG1
4414,Endothelial cell,FRMD4A
4415,Endothelial cell,FSCN1
4416,Endothelial cell,FSTL1
4417,Endothelial cell,FXYD5
4418,Endothelial cell,FZD4
4419,Endothelial cell,GAB1
4420,Endothelial cell,GALNT18
4421,Endothelial cell,GATA3
4422,Endothelial cell,GDPD5
4423,Endothelial cell,GEN1
4424,Endothelial cell,GGT5
4425,Endothelial cell,GNAS
4426,Endothelial cell,GNG11
4427,Endothelial cell,GNL1
4428,Endothelial cell,GPATCH11
4429,Endothelial cell,GPR161
4430,Endothelial cell,GRAMD1A
4431,Endothelial cell,GRB10
4432,Endothelial cell,GRK2
4433,Endothelial cell,GRPEL2
4434,Endothelial cell,GTF3A
4435,Endothelial cell,GTPBP2
4436,Endothelial cell,GUSB
4437,Endothelial cell,GYPC
4438,Endothelial cell,H1-10
4439,Endothelial cell,HAPLN3
4440,Endothelial cell,HBP1
4441,Endothelial cell,HDAC7
4442,Endothelial cell,HEIH
4443,Endothelial cell,HEY1
4444,Endothelial cell,HIPK2
4445,Endothelial cell,HLA-E
4446,Endothelial cell,HMGA1
4447,Endothelial cell,HMGA2
4448,Endothelial cell,HOMER3
4449,Endothelial cell,HOTAIRM1
4450,Endothelial cell,HOXA5
4451,Endothelial cell,HOXA6
4452,Endothelial cell,HPGD
4453,Endothelial cell,HSPB1
4454,Endothelial cell,HSPBAP1
4455,Endothelial cell,HYAL2
4456,Endothelial cell,ICA1
4457,Endothelial cell,ID1
4458,Endothelial cell,ID3
4459,Endothelial cell,IDH2
4460,Endothelial cell,IGF2BP1
4461,Endothelial cell,IGF2BP2
4462,Endothelial cell,IGFBP4
4463,Endothelial cell,INAFM2
4464,Endothelial cell,INF2
4465,Endothelial cell,INKA1
4466,Endothelial cell,IRF2BPL
4467,Endothelial cell,ITGA5
4468,Endothelial cell,ITGA8
4469,Endothelial cell,ITGA9
4470,Endothelial cell,ITM2A
4471,Endothelial cell,ITPRID2
4472,Endothelial cell,ITPRIP
4473,Endothelial cell,JAM3
4474,Endothelial cell,JUP
4475,Endothelial cell,KCNN3
4476,Endothelial cell,KDM7A
4477,Endothelial cell,KDR
4478,Endothelial cell,KIF3C
4479,Endothelial cell,KIT
4480,Endothelial cell,KLF4
4481,Endothelial cell,KLF6
4482,Endothelial cell,KMT5A
4483,Endothelial cell,LAMA4
4484,Endothelial cell,LAMB1
4485,Endothelial cell,LAMC1
4486,Endothelial cell,LAPTM5
4487,Endothelial cell,LBR
4488,Endothelial cell,LDB2
4489,Endothelial cell,LHFPL2
4490,Endothelial cell,LIG1
4491,Endothelial cell,LIMCH1
4492,Endothelial cell,LIMD2
4493,Endothelial cell,LIMS1
4494,Endothelial cell,LIPA
4495,Endothelial cell,LMO2
4496,Endothelial cell,LOXL2
4497,Endothelial cell,LPAR6
4498,Endothelial cell,LRIG3
4499,Endothelial cell,LRP10
4500,Endothelial cell,LRP11
4501,Endothelial cell,LRP5
4502,Endothelial cell,LRRC32
4503,Endothelial cell,LRRFIP1
4504,Endothelial cell,LUZP1
4505,Endothelial cell,MAGED2
4506,Endothelial cell,MAML2
4507,Endothelial cell,MAN1A1
4508,Endothelial cell,MAN2A1
4509,Endothelial cell,MAN2C1
4510,Endothelial cell,MAP3K11
4511,Endothelial cell,MAP3K3
4512,Endothelial cell,MAP4K2
4513,Endothelial cell,MAP4K4
4514,Endothelial cell,MARCKS
4515,Endothelial cell,MAST4
4516,Endothelial cell,MCMBP
4517,Endothelial cell,MDK
4518,Endothelial cell,MEF2C
4519,Endothelial cell,MEIS2
4520,Endothelial cell,MIDN
4521,Endothelial cell,MMP16
4522,Endothelial cell,MMS22L
4523,Endothelial cell,MPDZ
4524,Endothelial cell,MRPL52
4525,Endothelial cell,MSN
4526,Endothelial cell,MTIF3
4527,Endothelial cell,MTSS1
4528,Endothelial cell,MYO1B
4529,Endothelial cell,MYO5C
4530,Endothelial cell,NARF
4531,Endothelial cell,NAV1
4532,Endothelial cell,NAV3
4533,Endothelial cell,NEAT1
4534,Endothelial cell,NEDD9
4535,Endothelial cell,NET1
4536,Endothelial cell,NFAT5
4537,Endothelial cell,NFIB
4538,Endothelial cell,NFKB1
4539,Endothelial cell,NID1
4540,Endothelial cell,NMRK1
4541,Endothelial cell,NOSTRIN
4542,Endothelial cell,NOTCH1
4543,Endothelial cell,NR2F1
4544,Endothelial cell,NR2F1-AS1
4545,Endothelial cell,NR2F2
4546,Endothelial cell,NRP1
4547,Endothelial cell,NRP2
4548,Endothelial cell,NT5DC2
4549,Endothelial cell,NTAN1
4550,Endothelial cell,NUDT14
4551,Endothelial cell,NUP50
4552,Endothelial cell,OAS1
4553,Endothelial cell,OLFML3
4554,Endothelial cell,ORAI2
4555,Endothelial cell,PALD1
4556,Endothelial cell,PCDH17
4557,Endothelial cell,PDE4B
4558,Endothelial cell,PDE8A
4559,Endothelial cell,PDK4
4560,Endothelial cell,PDLIM7
4561,Endothelial cell,PEA15
4562,Endothelial cell,PEAR1
4563,Endothelial cell,PELI1
4564,Endothelial cell,PELI2
4565,Endothelial cell,PFN1
4566,Endothelial cell,PGAP6
4567,Endothelial cell,PGM2L1
4568,Endothelial cell,PGS1
4569,Endothelial cell,PHLDB2
4570,Endothelial cell,PIEZO2
4571,Endothelial cell,PIGK
4572,Endothelial cell,PIM3
4573,Endothelial cell,PIP4K2A
4574,Endothelial cell,PIP5K1C
4575,Endothelial cell,PLAT
4576,Endothelial cell,PLD2
4577,Endothelial cell,PLEKHA1
4578,Endothelial cell,PLEKHO2
4579,Endothelial cell,PLS3
4580,Endothelial cell,PLVAP
4581,Endothelial cell,PLXNA2
4582,Endothelial cell,PLXND1
4583,Endothelial cell,PMAIP1
4584,Endothelial cell,PMEPA1
4585,Endothelial cell,PNP
4586,Endothelial cell,POC5
4587,Endothelial cell,POGLUT2
4588,Endothelial cell,POLE4
4589,Endothelial cell,PPM1F
4590,Endothelial cell,PPM1G
4591,Endothelial cell,PRCP
4592,Endothelial cell,PRDM4
4593,Endothelial cell,PREX1
4594,Endothelial cell,PRKAB1
4595,Endothelial cell,PRKD2
4596,Endothelial cell,PRR5
4597,Endothelial cell,PTPRE
4598,Endothelial cell,PTPRM
4599,Endothelial cell,PXDC1
4600,Endothelial cell,PXDN
4601,Endothelial cell,PXN
4602,Endothelial cell,RAB31
4603,Endothelial cell,RAB4A
4604,Endothelial cell,RACGAP1
4605,Endothelial cell,RALA
4606,Endothelial cell,RALB
4607,Endothelial cell,RALGAPA2
4608,Endothelial cell,RAMP2
4609,Endothelial cell,RAP2A
4610,Endothelial cell,RAP2C
4611,Endothelial cell,RAPGEF5
4612,Endothelial cell,RAPGEF6
4613,Endothelial cell,RAPH1
4614,Endothelial cell,RARB
4615,Endothelial cell,RASIP1
4616,Endothelial cell,RBMS1
4617,Endothelial cell,RDX
4618,Endothelial cell,REL
4619,Endothelial cell,REPIN1
4620,Endothelial cell,RFC3
4621,Endothelial cell,RGL1
4622,Endothelial cell,RGS3
4623,Endothelial cell,RGS5
4624,Endothelial cell,RHOJ
4625,Endothelial cell,RIN3
4626,Endothelial cell,RNASEH2A
4627,Endothelial cell,RNF185
4628,Endothelial cell,RPS6KA2
4629,Endothelial cell,RTKN
4630,Endothelial cell,RTL3
4631,Endothelial cell,S100A11
4632,Endothelial cell,S100A13
4633,Endothelial cell,S100A16
4634,Endothelial cell,SASH1
4635,Endothelial cell,SBDSP1
4636,Endothelial cell,SCO1
4637,Endothelial cell,SELENON
4638,Endothelial cell,SEMA6A
4639,Endothelial cell,SGO2
4640,Endothelial cell,SH2B3
4641,Endothelial cell,SH2D3C
4642,Endothelial cell,SH3TC1
4643,Endothelial cell,SHANK3
4644,Endothelial cell,SHC1
4645,Endothelial cell,SKAP2
4646,Endothelial cell,SLC12A7
4647,Endothelial cell,SLC27A3
4648,Endothelial cell,SLC41A3
4649,Endothelial cell,SLC9A3R2
4650,Endothelial cell,SMAD1
4651,Endothelial cell,SMAGP
4652,Endothelial cell,SMAP2
4653,Endothelial cell,SMG5
4654,Endothelial cell,SMIM13
4655,Endothelial cell,SMTN
4656,Endothelial cell,SNCG
4657,Endothelial cell,SNRK
4658,Endothelial cell,SOCS3
4659,Endothelial cell,SP100
4660,Endothelial cell,SPAG9
4661,Endothelial cell,SPIN4
4662,Endothelial cell,SPRY1
4663,Endothelial cell,SPTBN1
4664,Endothelial cell,SRD5A3
4665,Endothelial cell,SSH1
4666,Endothelial cell,ST3GAL6
4667,Endothelial cell,ST6GAL1
4668,Endothelial cell,STIM2
4669,Endothelial cell,STING1
4670,Endothelial cell,STON2
4671,Endothelial cell,TAB1
4672,Endothelial cell,TAGLN2
4673,Endothelial cell,TANC2
4674,Endothelial cell,TBC1D1
4675,Endothelial cell,TCIRG1
4676,Endothelial cell,TEK
4677,Endothelial cell,TFPI
4678,Endothelial cell,TFPI2
4679,Endothelial cell,TGFBR2
4680,Endothelial cell,THEM6
4681,Endothelial cell,THSD1
4682,Endothelial cell,THY1
4683,Endothelial cell,TIMELESS
4684,Endothelial cell,TIMP3
4685,Endothelial cell,TJP1
4686,Endothelial cell,TLE1
4687,Endothelial cell,TLNRD1
4688,Endothelial cell,TM4SF1
4689,Endothelial cell,TMCO3
4690,Endothelial cell,TMEM184B
4691,Endothelial cell,TMEM204
4692,Endothelial cell,TMEM237
4693,Endothelial cell,TMEM37
4694,Endothelial cell,TMEM44
4695,Endothelial cell,TMEM88
4696,Endothelial cell,TMSB4X
4697,Endothelial cell,TNFAIP2
4698,Endothelial cell,TNFAIP8L1
4699,Endothelial cell,TNFRSF1A
4700,Endothelial cell,TP53
4701,Endothelial cell,TP53I11
4702,Endothelial cell,TP53I3
4703,Endothelial cell,TP53TG1
4704,Endothelial cell,TPP2
4705,Endothelial cell,TPST2
4706,Endothelial cell,TRAF3IP2
4707,Endothelial cell,TRIM44
4708,Endothelial cell,TRMT10A
4709,Endothelial cell,TSPAN18
4710,Endothelial cell,TSPAN4
4711,Endothelial cell,TTC28
4712,Endothelial cell,TTLL5
4713,Endothelial cell,TUBA1C
4714,Endothelial cell,TUBB2B
4715,Endothelial cell,TUBB6
4716,Endothelial cell,UBE2C
4717,Endothelial cell,USB1
4718,Endothelial cell,UTRN
4719,Endothelial cell,VAMP5
4720,Endothelial cell,VASH1
4721,Endothelial cell,VAV3
4722,Endothelial cell,VIM
4723,Endothelial cell,VTI1B
4724,Endothelial cell,WARS1
4725,Endothelial cell,WASHC4
4726,Endothelial cell,WIPF1
4727,Endothelial cell,WIPI1
4728,Endothelial cell,WWTR1
4729,Endothelial cell,XRCC4
4730,Endothelial cell,YEATS2
4731,Endothelial cell,ZCCHC24
4732,Endothelial cell,ZDHHC7
4733,Endothelial cell,ZEB1
4734,Endothelial cell,ZKSCAN8
4735,Endothelial cell,ZNF250
4736,Endothelial cell,ZNF267
4737,Endothelial cell,ZNF521
4738,Endothelial cell,ZNF667
4739,Endothelial cell,ZSWIM6
4740,Endothelial cell,CD34
4741,Endothelial cell,CDH5
4742,Endothelial cell,FLT1
4743,Endothelial cell,PECAM1
4744,Endothelial cell,PECAM1
4745,Endothelial cell,LYVE1
4746,Endothelial cell,CLDN5
4747,Endothelial cell,FLT1
4748,Endothelial cell,PECAM1
4749,Endothelial cell,CD34
4750,Endothelial cell,CDH5
4751,Endothelial cell,ICAM1
4752,Endothelial cell,ITGA2
4753,Endothelial cell,ITGA3
4754,Endothelial cell,ITGA4
4755,Endothelial cell,PECAM1
4756,Endothelial cell,PLVAP
4757,Endothelial cell,PLVAP
4758,Endothelial cell,VEGFC
4759,Eosinophil,ADGRE1
4760,Eosinophil,CCR3
4761,Eosinophil,CCR3
4762,Eosinophil,CD14
4763,Eosinophil,CD33
4764,Eosinophil,CD44
4765,Eosinophil,CD48
4766,Eosinophil,CD69
4767,Eosinophil,CD69
4768,Eosinophil,CD81
4769,Eosinophil,CD9
4770,Eosinophil,CEACAM5
4771,Eosinophil,CEACAM8
4772,Eosinophil,CSF2RA
4773,Eosinophil,CSF3R
4774,Eosinophil,FCGR3A
4775,Eosinophil,FUT4
4776,Eosinophil,FUT4
4777,Eosinophil,ICAM1
4778,Eosinophil,IL13
4779,Eosinophil,IL2RA
4780,Eosinophil,IL3RA
4781,Eosinophil,IL3RA
4782,Eosinophil,IL4
4783,Eosinophil,IL4R
4784,Eosinophil,IL5
4785,Eosinophil,IL5RA
4786,Eosinophil,IL6R
4787,Eosinophil,PTPRC
4788,Epiblast cell,AARS2
4789,Epiblast cell,ABHD12B
4790,Epiblast cell,ACE
4791,Epiblast cell,ANKRD45
4792,Epiblast cell,APOBEC3C
4793,Epiblast cell,APOBEC3D
4794,Epiblast cell,ARGFX
4795,Epiblast cell,ASH2L
4796,Epiblast cell,ATP8B2
4797,Epiblast cell,BCOR
4798,Epiblast cell,BTLA
4799,Epiblast cell,CAMKV
4800,Epiblast cell,CAPG
4801,Epiblast cell,CASP8
4802,Epiblast cell,CBFA2T2
4803,Epiblast cell,CCDC80
4804,Epiblast cell,CDHR1
4805,Epiblast cell,CFLAR
4806,Epiblast cell,CHST2
4807,Epiblast cell,CPT1A
4808,Epiblast cell,CREBL2
4809,Epiblast cell,CXCL12
4810,Epiblast cell,DND1
4811,Epiblast cell,DOCK6
4812,Epiblast cell,DPPA2
4813,Epiblast cell,DPPA4
4814,Epiblast cell,DPPA5
4815,Epiblast cell,ESRG
4816,Epiblast cell,ETV1
4817,Epiblast cell,ETV4
4818,Epiblast cell,FAM124A
4819,Epiblast cell,FAM234A
4820,Epiblast cell,FBP1
4821,Epiblast cell,FGF4
4822,Epiblast cell,GDF3
4823,Epiblast cell,GGT1
4824,Epiblast cell,GK
4825,Epiblast cell,GPRC5C
4826,Epiblast cell,GUCA1A
4827,Epiblast cell,HESX1
4828,Epiblast cell,HEY2
4829,Epiblast cell,IFITM1
4830,Epiblast cell,IGSF1
4831,Epiblast cell,IL23A
4832,Epiblast cell,KLF17
4833,Epiblast cell,LAPTM4B
4834,Epiblast cell,LDLRAP1
4835,Epiblast cell,LIM2
4836,Epiblast cell,LRP4
4837,Epiblast cell,MAN1C1
4838,Epiblast cell,MAP4K1
4839,Epiblast cell,MT1X
4840,Epiblast cell,MUC4
4841,Epiblast cell,NANOG
4842,Epiblast cell,NGEF
4843,Epiblast cell,NLRP9
4844,Epiblast cell,NODAL
4845,Epiblast cell,NRBP2
4846,Epiblast cell,PBX3
4847,Epiblast cell,PIM2
4848,Epiblast cell,PITPNM2
4849,Epiblast cell,PLA2G4F
4850,Epiblast cell,POU5F1
4851,Epiblast cell,PRDM14
4852,Epiblast cell,PRUNE2
4853,Epiblast cell,PSORS1C2
4854,Epiblast cell,RASD1
4855,Epiblast cell,RRAD
4856,Epiblast cell,SAT1
4857,Epiblast cell,SERINC5
4858,Epiblast cell,SERPINB6
4859,Epiblast cell,SH3PXD2A
4860,Epiblast cell,SHPK
4861,Epiblast cell,SLC16A9
4862,Epiblast cell,SLC25A12
4863,Epiblast cell,SOX2
4864,Epiblast cell,ST6GALNAC3
4865,Epiblast cell,SUSD2
4866,Epiblast cell,TBC1D16
4867,Epiblast cell,TDGF1
4868,Epiblast cell,TDGF1P3
4869,Epiblast cell,TENT5B
4870,Epiblast cell,TNFRSF8
4871,Epiblast cell,TRIM56
4872,Epiblast cell,UBTD1
4873,Epiblast cell,UNC5B
4874,Epiblast cell,UPP1
4875,Epiblast cell,USP28
4876,Epiblast cell,UTF1
4877,Epiblast cell,VASH2
4878,Epiblast cell,VENTX
4879,Epiblast cell,VSNL1
4880,Epiblast cell,WNT3
4881,Epiblast cell,ZIC3
4882,Epiblast cell,ZSCAN10
4883,Epiblast cell,ZYG11A
4884,Epiblast cell,POU5F1
4885,Epiblast cell,SOX2
4886,Epicardial progenitor cell,WT1
4887,Epicardium-derived cell,ACTA2
4888,Epicardium-derived cell,DDR2
4889,Epicardium-derived cell,SNAI2
4890,Epicardium-derived cell,VIM
4892,Epithelial cell,ACTA2
4893,Epithelial cell,ADH7
4894,Epithelial cell,ALCAM
4895,Epithelial cell,ALDH1A3
4897,Epithelial cell,ANPEP
4898,Epithelial cell,CAPS
4899,Epithelial cell,CD24
4900,Epithelial cell,CD34
4901,Epithelial cell,CDH1
4902,Epithelial cell,CDH1
4903,Epithelial cell,CDH1
4904,Epithelial cell,CDH1
4905,Epithelial cell,CDH1
4906,Epithelial cell,CDH1
4907,Epithelial cell,CDH1
4910,Epithelial cell,CDH1
4911,Epithelial cell,CDH1
4912,Epithelial cell,CDH1
4913,Epithelial cell,CDKN2A
4914,Epithelial cell,CEACAM1
