group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,ENSG00000275214,68.89466,3.9039183,0.0,0.0,0.9933949801849405,0.44988211304403236
0,IFI6,68.074875,5.0201287,0.0,0.0,0.9603698811096433,0.15592939527177724
0,SERPINE2,67.802155,4.4939127,0.0,0.0,0.9656538969616909,0.33760275281972857
0,SNCG,66.76935,4.7411876,0.0,0.0,0.9291061206516953,0.17606576180462627
0,IFITM1,66.601616,4.2474155,0.0,0.0,0.9502421840598855,0.26247371439495315
0,ISG15,65.89763,4.0539207,0.0,0.0,0.9740202553940995,0.42197157968521
0,IFI27,64.272644,3.6387246,0.0,0.0,0.9775429326287979,0.43675524119033965
0,BST2,63.687183,3.8659115,0.0,0.0,0.9273447820343461,0.26049831134900914
0,B2M,62.255558,2.637411,0.0,0.0,0.9955966534566271,0.907665838271841
0,MX1,58.132942,4.0997343,0.0,0.0,0.8458828709819463,0.15694895813419996
0,ENSG00000278032,57.46375,2.1013322,0.0,0.0,0.9581682078379569,0.7585547696425158
0,IFI44L,57.249405,4.3798165,0.0,0.0,0.8146191105239983,0.11145096539858536
0,PARP14,55.375454,3.3453336,0.0,0.0,0.8414795244385733,0.2962467342127063
0,ENSG00000288681,54.100975,3.669246,0.0,0.0,0.8331131660061647,0.2271076276046645
0,IFITM3,53.46978,2.2326925,0.0,0.0,0.9092910612065169,0.6281781686102084
0,IGFBP6,51.469704,2.202207,0.0,0.0,0.9277851166886834,0.7581087108902058
0,LAPTM4A,49.930065,2.1831317,0.0,0.0,0.8740642888595332,0.5643917670298859
0,MT1M,47.85711,3.0961077,0.0,0.0,0.7930427124614707,0.2644491174408972
0,TFPI,46.631794,2.19281,0.0,0.0,0.8577719066490532,0.5014974829541834
0,MT1X,46.197205,2.3510878,0.0,0.0,0.8965213562307354,0.6427706620786338
0,STAT1,45.718494,2.314124,0.0,0.0,0.7899603698811096,0.44178933282355193
