celltype_leiden_res_1.0,CRISP2,ZNF165,SYCE1,PIWIL2,TMEFF2,TEKT5
CAF,-0.01954562705945589,-0.08149395749467196,-0.02034213325972341,-0.017656229685335027,-0.018334819146742433,-0.019933545030191083
Cycling tumor,0.0034301413498281264,0.1255209950003471,-0.02492810219943038,-0.01151225270302042,0.011037588311862669,0.014129868240138996
Immune,-0.02413123146543276,-0.041486523481626125,-0.02492810219943038,-0.02682990755134724,-0.027509118431675347,-0.024519326972996663
Mixed,-0.021416136332316447,-0.016012195945894075,-0.02221279122917051,-0.0186824292949404,-0.027509118431675347,-0.024519326972996663
Tumor epithelial,-0.02413123146543276,-0.011377745366880666,0.02126972315632736,-0.02682990755134724,-0.027509118431675347,0.021676614625957238
Unknown,-0.013569148108105264,-0.04096053725143413,-0.011607203050721947,-0.015580089238585384,-0.014713546408298176,-0.018810602982693134
