gene,fraction_expressing,mean_expression
MAGEC2,0.10772501771793054,0.3132463919712654
CTAG2,0.04819277108433735,0.15305416255244386
CTCFL,0.21048901488306165,0.7593026028922768
TDRD6,0.29270021261516654,1.1282689737257299
SPO11,0.2508858965272856,0.9775968882561993
SYCP1,0.2537207654145996,1.019955416229485
MORC1,0.15379163713678243,0.5668645754534135
HORMAD2,0.11622962437987243,0.4275836414886008
PAGE1,0.029766123316796598,0.08220164402100244
PAGE5,0.2969525159461375,0.9799704983765181
MAGEA4,0.147413182140326,0.4819167792547023
PRDM14,0.21119773210489015,0.6740182514617912
