names,logfoldchanges,pvals_adj,leiden_cluster,rank
AKR1B10,1.981747,0.04784213930407676,19,2
AC012485.3,1.278112,0.04734466979724909,19,3
SYTL3,1.7326043,0.04724430646425863,19,4
POU5F1,4.17873,0.04734466979724909,19,5
GJB3,1.4172446,0.04699102499428486,19,6
TGM7,1.5543891,0.04667651951682676,19,7
IFI27,6.7392073,0.04652169320540545,19,8
DPT,2.8390296,0.046273456976101704,19,9
CALCB,1.8886464,0.04593639436679352,19,10
LINC00520,1.3682106,0.04301383367428354,2,1
TNFSF13B,1.3457303,0.04067204254649369,2,2
APOM,7.220495,0.03535305161112337,2,3
TNFSF11,2.0298336,0.03352653943114697,2,4
LINC01060,2.9654956,0.03224292720608205,2,5
SYT2,3.4369373,0.02921121998963923,2,6
AC108477.2,1.9408817,0.028020362708737017,2,7
DNAH17,1.6407495,0.027367577025086073,2,8
AKR1B10,4.140053,0.02588256874029298,2,9
CCL26,2.390829,0.025681342644307402,2,10
CPA4,4.5315714,0.04362802728188789,20,1
ENKUR,1.2943122,0.042730798077558516,20,2
MCTP1,2.7685175,0.04272166172980816,20,3
CST2,1.2561185,0.041275894959855744,20,4
IL24,2.466604,0.03901975587342683,20,5
KRTAP2-3,2.3090308,0.03757716767369497,20,6
FGF19,1.3085401,0.036491293170665844,20,7
LINC00891,1.3606571,0.034026391820977844,20,8
AC022506.2,1.947823,0.03347472939874386,20,9
BMPR1B-DT,1.8220168,0.03204080914626347,20,10
FGF19,1.2832112,0.04787209572265676,21,1
LINC00891,1.3352002,0.04457489994052483,21,2
DMRT1,2.015251,0.042865696799400936,21,3
APLN,2.819107,0.04178948021460329,21,4
ADGRF5,2.5062332,0.038276336331723934,21,5
APOA2,1.5492964,0.0365797457202926,21,6
TF,1.0082966,0.036255864801589786,21,7
PLVAP,2.174054,0.036113203408994786,21,8
CIT,1.7504932,0.03544039643256076,21,9
MUC20,2.2421489,0.02537809194902787,21,10
ESAM,4.1506267,0.04800515563662947,22,1
RFLNA,7.579602,0.044026791665520496,22,2
CEMIP,2.0480208,0.04160944991020919,22,3
HBG2,1.6329077,0.04013031740887562,22,4
ABR,5.5099874,0.027643611898251184,22,5
TCIRG1,6.8385715,0.026161398244212947,22,6
HLA-DPB1,6.4040833,0.025482407846206496,22,7
CLEC2B,3.5456252,0.016402587131967933,22,8
PLA2R1,4.317249,0.013427435854632592,22,9
SPINK6,2.0895808,0.01232972206034137,22,10
TNFSF10,2.5391607,0.04904803365184051,23,1
INSL3,2.4517446,0.04284613278616686,23,2
RFLNA,7.6568627,0.03657858468666487,23,3
HLA-G,1.9050459,0.035384895430368976,23,4
HSD3B2,3.3568113,0.034586472515902196,23,5
MMP1,6.3719444,0.032168223808519476,23,6
PKIB,3.5149856,0.031071138291329712,23,7
EGR4,5.182704,0.03019384639821879,23,8
MAB21L4,1.9284515,0.029341025899819042,23,9
HBG2,1.5454983,0.0243202657070018,23,10
CCN3,6.1578727,0.04786553582993848,24,1
NMU,4.3334923,0.04473611903502952,24,2
EREG,3.9473124,0.035662592931044464,24,3
CLDN10,3.4927716,0.029931002803404515,24,4
VWF,2.3958178,0.026616476156339358,24,5
APLNR,2.2156453,0.017777537687455557,24,6
ADCYAP1,2.845214,0.016627054045567684,24,7
HLA-DRA,1.9636511,0.013849429185686053,24,8
CALB1,3.1826859,0.013849429185686053,24,9
C2CD4B,3.1088471,0.01325434513810825,24,10
PRSS22,15.098836,0.03274664889378519,25,1
NANOS3,4.3365593,0.030083579131933262,25,2
CXCL6,6.538481,0.030040572875687413,25,3
NPHS2,2.2258308,0.025292768520340157,25,4
CYP26A1,2.4921227,0.0232091687433412,25,5
ACTC1,2.414184,0.022518477341213393,25,6
PLVAP,2.3812249,0.01783207467720974,25,7
POU5F1,4.711372,0.011104174916383946,25,8
ICAM2,3.269789,0.009852367339415304,25,9
GAP43,8.399344,0.007341791866975534,25,10
CHGB,3.968743,0.040710592314905286,26,1
CA2,4.5814204,0.039761391079918634,26,2
GTSF1,3.226929,0.03615375119955451,26,3
CYP26A1,2.4830387,0.027139746673730855,26,4
AKR1C2,7.7869744,0.02413757347461569,26,5
CALB1,3.1223152,0.02381819808238441,26,6
SRGN,2.1262949,0.01432516557328866,26,7
PCK1,3.451334,0.012775080272662002,26,8
TNFRSF11B,3.322957,0.012623526942991986,26,9
ICAM2,3.2615385,0.011115791098595012,26,10
SYCP3,6.3598113,0.04560267189040181,27,1
LOX,5.2240453,0.040782941183931144,27,2
MKI67,10.561445,0.026965766932761134,27,3
C2CD4B,3.0071063,0.025653641215935087,27,4
CCL20,4.6117063,0.017745032466342348,27,5
EEF1A2,3.8931046,0.014673726847554839,27,6
NNMT,3.119272,0.013889471976605373,27,7
POU5F1,5.011114,0.007238983767190821,27,8
SPI1,2.1978981,0.006414979296866897,27,9
S100A4,4.918762,0.005724910876945258,27,10
PI15,2.5824296,0.04273962049667453,28,1
LAPTM5,1.6957276,0.04259926674783152,28,2
ACPP,7.535341,0.03959114414569811,28,3
SFN,5.1047077,0.03397399412454063,28,4
SPI1,2.1349084,0.033412435678520015,28,5
VWF,2.5180135,0.02282144174350814,28,6
APLN,3.0156648,0.019768177578180862,28,7
PAX8,5.84151,0.015018849770921548,28,8
SOX18,3.436734,0.013730681716322317,28,9
DAZL,3.329497,0.013190922460756692,28,10
GDF15,4.761601,0.04469855579349955,29,1
IL33,5.681624,0.04015940286196755,29,2
CYP17A1,4.436783,0.03859357295425637,29,3
RGCC,6.1679716,0.037965073479967006,29,4
ALKAL2,5.5151954,0.03307513954887761,29,5
AIF1,4.7381997,0.025893200691825366,29,6
CCL21,3.7672055,0.024726569970720015,29,7
COL4A4,3.1946864,0.02140869899813264,29,8
SFRP2,4.7864313,0.015692486046252913,29,9
EDN1,6.3213153,0.013649577170997153,29,10
ITIH5,1.5255921,0.0487954633600261,3,1
RAD21L1,2.3771122,0.0448480801953179,3,2
TFAP2C,3.4888425,0.04207634075209862,3,3
NANOS1,2.5175934,0.041302808748526,3,4
SLC3A1,3.0482788,0.0409194494429989,3,5
LEKR1,2.167634,0.03968711240956261,3,6
PRG2,1.1081728,0.039114040172041425,3,7
LINC01118,1.7722661,0.039097916324736345,3,8
AL603756.1,2.4481153,0.038539502463152825,3,9
CD14,2.4136567,0.038342386822396594,3,10
CLEC14A,3.2114604,0.04934667575368593,30,1
ARC,7.8750453,0.045208182514508775,30,2
HPGD,4.7068996,0.03778537446563271,30,3
IFIT2,4.1626444,0.03463330925144668,30,4
CALB1,3.325609,0.031093476297171085,30,5
FST,6.644305,0.030541694817695107,30,6
IFI30,2.9388218,0.021246939175417118,30,7
DCAF4L1,3.2005496,0.021182937462552884,30,8
EEF1A2,3.9928973,0.017914957641608394,30,9
ADGRF5,2.7220776,0.016735069534689825,30,10
CALB1,3.2941983,0.0484718510632591,31,1
THBD,5.6899033,0.04402391840938375,31,2
SCG2,6.2449656,0.029627891262973376,31,3
SLC22A1,3.7126274,0.029420401838939694,31,4
S100A2,6.3392076,0.02545620080156788,31,5
CXCL8,5.2639384,0.023710505382094765,31,6
GCNA,3.613502,0.021700455253398882,31,7
PNOC,3.3047683,0.011986779970266,31,8
AREG,8.070206,0.009741241193922737,31,9
POU5F1,5.0973825,0.007772255577623472,31,10
CSRP3,1.2026919,0.04897719938309029,32,1
SOX18,3.3921115,0.048752556690347844,32,2
UTF1,5.931748,0.04706395698582196,32,3
CALB1,3.2313316,0.03942172046616815,32,4
KRT19,7.5538397,0.038357947006019535,32,5
PTH2,1.4293431,0.02979173191476281,32,6
IDO1,1.6180141,0.022225174882514166,32,7
KHDC1L,1.5783813,0.021465086596376182,32,8
