names,logfoldchanges,pvals_adj,leiden_cluster,rank
GDF10,3.8160331,0.02702274175400871,2,10
TMEM100,5.1371584,0.044176993172655714,20,1
PIWIL2,3.8240228,0.03865769079166244,20,2
KIF20A,4.9526987,0.03781612501863465,20,3
TROAP,6.044322,0.029659681309918324,20,4
PLAUR,4.7065964,0.026641503402344818,20,5
MXD3,9.047789,0.02222833877012717,20,6
HLA-DPB1,5.733884,0.020729440138473366,20,7
LHX1,5.419994,0.0175411749793826,20,8
NPY,4.1947737,0.01736268857920182,20,9
CXCL1,6.1672454,0.008073703240068085,20,10
ANKRD1,10.609675,0.048633325213350606,21,1
ELF3,6.39437,0.045150371655614065,21,2
HSPA4L,10.077365,0.038499925114328974,21,3
TNFSF15,5.214762,0.010578506437518407,21,4
PLAU,7.9809766,0.008153341525621619,21,5
PAX8,7.457856,0.003661259200339115,21,6
DIO3,9.179178,0.0025045182582250957,21,7
PODXL,5.492941,0.0005336892155892168,21,8
TAC1,5.2657075,0.00011522533486933831,21,9
ANGPT2,11.091662,0.00010120799668845876,21,10
ADAMTS9,10.722141,0.04607966615349555,22,1
CXCL1,6.320098,0.04015649380815079,22,2
TNFAIP6,5.4752045,0.036910157086866235,22,3
PAX8,7.176584,0.019047656014002694,22,4
LHX1,5.481586,0.010403509296831486,22,5
ARL4C,6.5981545,0.009813980990174062,22,6
HGF,5.289125,0.00805164893165881,22,7
FGF7,5.970722,0.0011933200482030632,22,8
APLNR,1.1668816,9.063616251500238e-07,22,9
ICAM1,8.8203,7.009409858009161e-05,22,10
ARC,7.180884,0.04545330317125442,23,1
MMP9,8.093725,0.0241642928119636,23,2
HPGD,4.4125094,0.006662395138875314,23,3
RHOD,5.9613676,0.004156259419266832,23,4
CLDN4,6.399468,0.003378168674952771,23,5
CXCL8,4.891627,0.0012962827985276114,23,6
HLA-DRA,1.0343046,1.3820358346547438e-05,23,7
FLT1,5.057363,0.0008389503672987218,23,8
RGS4,12.265029,0.0005929602808210112,23,9
PODXL,5.559924,0.0005199646573103435,23,10
PCAT19,1.769679,0.0449484111492123,3,1
AL591468.2,1.2407576,0.04094087944832614,3,2
LRG1,2.807579,0.040458363430252005,3,3
SELE,2.040285,0.03915280244695375,3,4
DCAF4L1,1.8522432,0.0389040498685507,3,5
MT1G,2.1572134,0.0375889658318907,3,6
LGALS7B,3.5141149,0.03602201615395964,3,7
AC018647.1,2.875953,0.03357335511409963,3,8
CD7,1.0638479,0.029705026497053588,3,9
SFRP4,1.0959935,0.023691012924062144,3,10
IRF8,2.3088944,0.04441072855216978,4,1
LTB,1.2286907,0.04068531964600225,4,2
CHI3L1,5.080628,0.04026450294384507,4,3
IL10,1.5988425,0.038760030135557226,4,4
SUCNR1,1.3786879,0.03558222102076899,4,5
PCDH20,1.6865926,0.030165951918577752,4,6
PRG4,1.188635,0.02763939899006783,4,7
CD36,1.7430199,0.026314942650371334,4,8
SFRP2,2.0749412,0.02518496995652376,4,9
HLA-DRA,1.4121646,0.022923777547268556,4,10
TDO2,1.279177,0.048285441034690006,5,1
PCDH20,1.6837597,0.04755880195393955,5,2
ENKUR,1.7918999,0.04754488489486875,5,3
C4orf19,4.283779,0.04575138953050569,5,4
TENM2,6.7649784,0.03809083658833798,5,5
SUCNR1,1.4662904,0.03318443660209337,5,6
AL137800.1,2.2626398,0.03318443660209337,5,7
CCL14,1.2102588,0.030048069129345156,5,8
HLA-DPA1,2.5773926,0.029617103385312173,5,9
C11orf88,1.3273375,0.028598649005887104,5,10
CD53,1.4132534,0.038445729667759325,6,1
ADGRF5,1.394482,0.03678884677381191,6,2
DIO2,1.8080553,0.030186832737365256,6,3
MT1F,5.432838,0.026831911276875103,6,4
CHI3L1,6.0712223,0.02229016325275061,6,5
VWF,2.1596253,0.01887199609037117,6,6
PLA2G2A,1.8044611,0.01644160271234993,6,7
MT1M,2.4273229,0.014325581545733443,6,8
PALMD,4.034066,0.013562650519966683,6,9
ACP5,1.603759,0.013424737341763686,6,10
LINC00261,1.7223622,0.0497109101847301,7,1
CD37,1.2396023,0.047006460231635974,7,2
S100B,1.9697927,0.043803363998332574,7,3
INSL3,2.6818411,0.04341154590119287,7,4
GRP,1.213367,0.04063658603124035,7,5
AOC3,2.0756075,0.03775330037560054,7,6
KRT34,1.6279337,0.03559086377435631,7,7
SST,3.0863628,0.03113083131890391,7,8
CTSS,3.796012,0.028366494285376066,7,9
NPHS2,1.3693419,0.0280842698641151,7,10
NANOS3,2.833886,0.04889265746349126,8,1
ACTG2,4.0312014,0.04772033043813741,8,2
CHGB,2.5979354,0.044193890903890566,8,3
ROR1-AS1,4.1338882,0.041407876453167985,8,4
ANXA10,3.4904542,0.04107599840389744,8,5
KCNE5,4.898321,0.04107599840389744,8,6
PLVAP,1.5380003,0.04107599840389744,8,7
SFRP4,1.1481495,0.03801966894868004,8,8
F2RL3,7.0589447,0.03326339951594156,8,9
PLAC8,1.0430443,0.03262491355464788,8,10
GCNA,3.1945076,0.04977641121666264,9,1
ACP5,1.4319842,0.047406389247687274,9,2
PRG4,1.410921,0.04697794853714682,9,3
C15orf48,2.3762796,0.046289122423917035,9,4
KRT34,1.7494693,0.042462974612105214,9,5
OLR1,3.282631,0.04179854227875435,9,6
LINC00891,2.0918064,0.040447719882760955,9,7
ANXA10,3.5765543,0.038263826382843806,9,8
LSP1,3.6284606,0.03386890807850803,9,9
IGF1,4.5706277,0.03386890807850803,9,10
